City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Aizawl,3/11/2020,32.69,47.91,6.99,2.85,11.93,26.64,0.6,4.53,4.48,0.03,0.3,,,
Aizawl,3/12/2020,31.21,38.66,7.2,1.27,10.65,25.63,0.56,4.22,2.81,0.01,0.08,,52,Satisfactory
Aizawl,3/13/2020,38.39,46.68,7.19,0.91,10.37,29.16,0.57,4.46,0.18,0,0,,60,Satisfactory
Aizawl,3/14/2020,43.23,50.83,7.14,1.07,10.48,28.95,0.57,4.53,0.41,0,0,,62,Satisfactory
Aizawl,3/15/2020,33.82,41.03,7.09,0.36,9.73,28.41,0.48,4.63,0.3,0,0,,70,Satisfactory
Aizawl,3/16/2020,27.14,35.04,5.63,2.32,8.09,23.98,0.5,4.71,13.02,0.13,0.68,,54,Satisfactory
Aizawl,3/17/2020,27.32,35.75,3.07,2.14,3.41,24.57,0.48,4.84,6.03,0.25,1.34,,40,Good
Aizawl,3/18/2020,31.76,41.51,3,1.48,5.24,23.42,0.47,5.04,8.76,0.24,1.19,,51,Satisfactory
Aizawl,3/19/2020,43.8,53.59,2.97,1.31,4.97,23.41,0.48,5.3,9.96,0.26,1.11,,63,Satisfactory
Aizawl,3/20/2020,35.48,44.02,3.01,0.83,4.64,24.85,0.49,5.32,6.43,0.27,1.15,,69,Satisfactory
Aizawl,3/21/2020,51.27,60.05,3.01,0.88,4.62,24.44,0.49,5.63,8.62,49.66,50.11,,70,Satisfactory
Aizawl,3/22/2020,33.24,40.33,2.93,0.13,3.65,18.55,0.37,5.41,5.64,13.07,13.69,,71,Satisfactory
Aizawl,3/23/2020,35.34,41.55,2.98,0.16,3.71,20.24,0.32,5.63,5.73,62.93,62.45,,53,Satisfactory
Aizawl,3/24/2020,47.34,56.65,2.96,0.14,3.66,20.21,0.37,6.17,5.59,0.33,0.33,,66,Satisfactory
Aizawl,3/25/2020,53.64,62.86,2.96,0.17,3.77,25.43,0.44,6.75,6.44,0.23,0.84,,92,Satisfactory
Aizawl,3/26/2020,54.9,62.7,2.96,0.13,3.69,25.48,0.42,6.8,5.87,0.25,0.92,,89,Satisfactory
Aizawl,3/27/2020,44.64,53.86,2.94,0.11,3.59,28.26,0.4,7.34,6.42,0.22,0.82,,82,Satisfactory
Aizawl,3/28/2020,51.33,60.03,2.92,0.35,3.89,29.89,0.44,7.69,8.76,0.23,0.66,,71,Satisfactory
Aizawl,3/29/2020,34.54,41.95,2.93,0.13,3.64,28.47,0.36,7.8,7.99,0.19,0.6,,81,Satisfactory
Aizawl,3/30/2020,39.47,48.07,2.93,0.24,3.79,29.05,0.42,7.67,7.4,0.19,0.73,,60,Satisfactory
Aizawl,3/31/2020,27.27,33.9,2.95,0.25,3.8,30.99,0.4,7.9,6.74,0.18,0.8,,51,Satisfactory
Aizawl,4/1/2020,38.6,49.19,2.98,0.26,3.94,32.95,0.45,8.11,6.12,36.6,37.17,,62,Satisfactory
Aizawl,4/2/2020,36.22,48.66,2.93,0.25,3.86,32.94,0.4,8.36,9.24,0.15,0.55,,64,Satisfactory
Aizawl,4/3/2020,30.35,39.84,2.9,0.21,3.75,23.37,0.29,8.25,10.87,0.08,0.47,,54,Satisfactory
Aizawl,4/4/2020,24.05,41.95,2.97,0.25,3.79,21.6,0.26,8.16,11.09,0.08,0.42,,43,Good
Aizawl,4/5/2020,26.47,33.51,2.96,0.08,3.5,26,0.31,8.79,5.76,10.03,10.52,,44,Good
Aizawl,4/6/2020,35.13,43.65,2.96,0.15,3.69,25.1,0.31,8.49,7.94,0.12,0.52,,48,Good
Aizawl,4/7/2020,33.19,42.17,2.92,0.3,3.85,22.71,0.3,8.78,13.38,0.12,0.38,,61,Satisfactory
Aizawl,4/8/2020,24.92,31.74,2.97,0.18,3.74,23.73,0.27,8.69,9.67,0.08,0.41,,45,Good
Aizawl,4/9/2020,39.15,45.79,3.32,0.31,4.47,22.95,0.39,7.81,7.66,6.27,6.66,,59,Satisfactory
Aizawl,4/10/2020,38.01,45.39,4.41,0.13,5.7,27.97,0.41,4.52,5.62,0.16,0.7,,64,Satisfactory
Aizawl,4/11/2020,30.06,35.53,4.37,0.17,5.74,30,0.37,4.77,6.71,0.15,0.71,,55,Satisfactory
Aizawl,4/12/2020,21.7,27.32,4.33,0.12,5.6,26.24,0.27,4.54,8.47,8.27,8.6,,41,Good
Aizawl,4/13/2020,28.33,33.24,6.24,0.39,8.44,28.53,0.36,5.3,10.16,0.12,0.57,,42,Good
Aizawl,4/14/2020,46.26,49.81,10.26,0.45,14.04,31.28,0.47,5.66,2.97,29.29,29.74,,64,Satisfactory
Aizawl,4/15/2020,40.72,48.87,11.4,0.51,15.65,30.38,0.42,5.71,0.72,1.55,2.05,,76,Satisfactory
Aizawl,4/16/2020,22.63,28.06,11.4,0.33,15.49,23.59,0.28,5.52,0.79,4.18,4.62,,49,Good
Aizawl,4/17/2020,15.06,19.85,11.4,0.36,15.51,14.87,0.22,5.43,2.46,0.05,0.35,,33,Good
Aizawl,4/18/2020,19.5,25.12,11.44,0.25,15.38,17.65,0.25,6.06,1.17,0.05,0.31,,31,Good
Aizawl,4/19/2020,10.48,14.73,11.44,0.11,15.2,19.03,0.22,6.4,1.27,0.03,0.33,,24,Good
Aizawl,4/20/2020,11.79,18.9,11.47,0.95,16.08,19.13,0.25,6.79,8.71,1.02,1.41,,24,Good
Aizawl,4/21/2020,9.53,20.94,11.54,0.75,15.94,16.64,0.27,6.62,7.67,10.19,10.54,,23,Good
Aizawl,4/22/2020,8.53,11.26,11.47,0.34,15.48,15.61,0.24,6.61,1.3,0.05,0.45,,20,Good
Aizawl,4/23/2020,10.42,14.56,11.56,0.26,15.49,16.78,0.26,6.96,1.75,0.06,0.49,,19,Good
Aizawl,4/24/2020,5.74,9.67,11.53,0.34,15.57,12.4,0.21,6.79,1.16,0.03,0.31,,19,Good
Aizawl,4/25/2020,3.14,5.83,11.51,0.2,14.68,17.91,0.18,7.47,0.55,7.73,8,,19,Good
Aizawl,4/26/2020,1.97,4.06,11.54,0.13,15.25,12.44,0.18,6.98,1.78,6.7,6.95,,18,Good
Aizawl,4/27/2020,5.4,9.88,11.62,0.27,15.57,17.69,0.25,7.21,0.22,8.33,8.74,,19,Good
Aizawl,4/28/2020,3.55,7.84,11.7,0.18,15.6,17.07,0.26,6.97,,6.89,7.42,,19,Good
Aizawl,4/29/2020,3.85,6.78,11.6,0.17,15.4,15.28,0.21,7.23,,13.67,14.03,,19,Good
Aizawl,4/30/2020,4.49,8.9,11.7,0.3,15.65,14.49,0.24,6.6,1.55,20.86,21.42,,19,Good
Aizawl,5/1/2020,7.92,12.97,11.68,0.35,15.71,18.21,0.3,6.47,1.61,0.06,0.76,,20,Good
Aizawl,5/2/2020,8.24,13.13,11.6,0.23,15.48,16.69,0.28,6.46,0.1,10.3,10.91,,20,Good
Aizawl,5/3/2020,5.48,9.88,11.53,0.08,15.15,14.56,0.19,6.42,0.07,16.64,17,,19,Good
Aizawl,5/4/2020,6.32,11.92,11.56,0.22,15.43,15.74,0.23,6.93,0.41,22.57,22.98,,19,Good
Aizawl,5/5/2020,10.16,14.63,11.58,0.25,15.58,18.64,0.27,7.6,0.12,6.11,6.56,,19,Good
Aizawl,5/6/2020,6.15,8.99,13.16,0.63,16.56,15.26,0.24,7.36,2.82,3.21,3.68,,20,Good
Aizawl,5/7/2020,3.93,6.85,11.51,0.18,15.43,19.43,0.27,8.04,0.19,10.76,11.43,,20,Good
Aizawl,5/8/2020,13.61,17.4,11.52,0.49,15.75,22.37,0.32,8.51,2.66,22.22,22.76,,20,Good
Aizawl,5/9/2020,13.29,19.14,11.54,0.34,15.65,27.89,0.37,8.6,0.24,0.07,1,,24,Good
Aizawl,5/10/2020,16.09,20.04,11.47,0.09,15.21,32.66,0.31,8.61,0.06,0.06,0.82,,24,Good
Aizawl,5/11/2020,25.35,31.71,11.55,0.69,15.98,29.77,0.39,8.87,7.63,12.22,13.15,,35,Good
Aizawl,5/12/2020,27.97,33.56,11.51,0.44,15.73,29.94,0.42,8.91,0.18,0.12,1.04,,46,Good
