City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amritsar,2/27/2017,13.42,14.92,15.06,8.86,,1.6,0.81,11,12.96,,,,,
Amritsar,2/28/2017,12.45,13.8,17.44,8.05,,1.73,0.67,16.06,11.88,,,,52,Satisfactory
Amritsar,3/1/2017,19.52,21.88,14.77,6.02,,1.48,0.43,26.24,11.53,,,,31,Good
Amritsar,3/2/2017,77.71,80.27,10.49,3.88,,1.29,0.36,22.35,18.68,,,,106,Moderate
Amritsar,3/3/2017,19.7,33.08,9.91,3.13,,1.15,0.37,14.29,22.22,,,,98,Satisfactory
Amritsar,3/4/2017,22.91,56.19,10.69,4.13,,1.86,0.47,8.42,26.62,,,,61,Satisfactory
Amritsar,3/5/2017,29.56,44.5,8.95,2.66,,1.26,0.39,10.95,27.03,,,,62,Satisfactory
Amritsar,3/6/2017,46.13,62.88,9.62,4.89,,1.99,0.54,30.27,26.3,,,,78,Satisfactory
Amritsar,3/7/2017,44.3,52.12,9.4,5.32,,2.4,0.36,28.74,20.63,,,,72,Satisfactory
Amritsar,3/8/2017,41.23,52.75,11.18,7.88,,2.51,0.39,21.4,22.44,,,,71,Satisfactory
Amritsar,3/9/2017,29.88,33.2,10.64,11.66,,2.31,0.36,4.26,21.11,,,,59,Satisfactory
Amritsar,3/10/2017,37.93,43.69,12.84,15.11,,2.05,0.2,6.38,25.06,,,,73,Satisfactory
Amritsar,3/11/2017,32.46,50.76,10.93,19.67,,6.82,0,4.71,18.79,,,,56,Satisfactory
Amritsar,3/12/2017,25.65,54.59,12.14,26.15,,11.73,0,8.32,15.64,,,,55,Satisfactory
Amritsar,3/13/2017,41.36,77.43,11.4,25.88,,11.71,0,4.75,20.27,,,,69,Satisfactory
Amritsar,3/14/2017,51.88,86.64,9.24,25.21,,11.76,0,7.72,30.34,,,,80,Satisfactory
Amritsar,3/15/2017,51.59,86.11,10.03,26.05,,12.33,0,9.06,24.63,,,,89,Satisfactory
Amritsar,3/16/2017,45.46,82.73,13.23,26.38,,12.56,0,2.94,19.36,0,0,0,79,Satisfactory
Amritsar,3/17/2017,152.17,93.68,13.86,27.06,,12.45,0,3.17,21.78,,,,262,Poor
