City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bhopal,9/17/2019,23.12,43.95,13.38,38.58,31.4,34.63,1.52,10.53,41.86,,,,,
Bhopal,9/18/2019,21.25,38.2,16.08,37.81,33.18,44.14,1.38,8.95,24.7,,,,89,Satisfactory
Bhopal,9/19/2019,16.94,41.09,12.94,25.28,23.96,47.43,0.95,8.08,31.66,,,,77,Satisfactory
Bhopal,9/20/2019,15.29,43.1,11.93,26.05,23.56,42.29,0.95,7.52,30.93,,,,76,Satisfactory
Bhopal,9/21/2019,20.75,62.7,14.9,30.9,28.55,46.25,1.41,7.31,27.19,,,,82,Satisfactory
Bhopal,9/22/2019,11.21,42.45,12.44,25.74,23.8,44.52,1.16,5.82,38.87,,,,90,Satisfactory
Bhopal,9/23/2019,11.81,44.21,11.05,25.81,22.72,48.42,1.07,5.34,32.97,,,,82,Satisfactory
Bhopal,9/24/2019,17.7,53.29,9.59,28.48,22.95,40.42,1.18,4.96,38.57,,,,80,Satisfactory
Bhopal,9/25/2019,20.41,50.27,10.74,28.75,24.02,46.34,1.11,7.96,36.42,,,,81,Satisfactory
Bhopal,9/26/2019,17.21,31.31,14.75,27.96,26.86,47,1.05,9.32,28.2,,,,77,Satisfactory
Bhopal,9/27/2019,12.65,31.54,9.57,20.58,18.72,50.15,0.84,9.64,29.49,,,,69,Satisfactory
Bhopal,9/28/2019,3.4,16.32,8.05,14.11,14.05,47.07,0.64,6.72,37.28,,,,52,Satisfactory
Bhopal,9/29/2019,7.23,27.84,10.21,17.12,17.41,51.91,0.66,5.91,28.85,,,,49,Good
Bhopal,9/30/2019,8.7,36.97,13.93,22.35,23.21,46.82,0.7,8.9,26.74,,,,56,Satisfactory
Bhopal,10/1/2019,6.53,21.31,7.3,13.46,13.09,42.77,0.71,7.08,43.46,,,,68,Satisfactory
Bhopal,10/2/2019,20.86,72.34,10.44,27.86,23.31,37.95,0.87,7.08,50.24,,,,75,Satisfactory
Bhopal,10/3/2019,24.92,106.41,7.92,34.15,24.6,37.23,0.75,9.36,66.15,,,,97,Satisfactory
Bhopal,10/4/2019,28.1,122.06,9.29,33.99,25.63,36.82,1.04,8.53,65.06,,,,112,Moderate
Bhopal,10/5/2019,26.41,99.6,12.64,36.45,28.3,40.41,1.01,8.38,63.02,,,,117,Moderate
Bhopal,10/6/2019,32.5,90.64,10.19,34.81,26.8,16.79,1.19,9.9,40.2,,,,101,Moderate
Bhopal,10/7/2019,39.74,102.93,16.9,38.5,34.22,17.08,1.45,8.29,40.72,,,,109,Moderate
Bhopal,10/8/2019,52.66,130.64,6.13,34.1,23.13,18.88,1.26,11.29,77.47,,,,143,Moderate
Bhopal,10/9/2019,36.92,114.12,3.78,32.53,20.39,13.56,0.83,12.3,79.94,,,,123,Moderate
Bhopal,10/10/2019,42.55,126.36,10.57,43.5,31.74,15.13,1.05,10.09,66.05,,,,118,Moderate
Bhopal,10/11/2019,53.12,155.77,10,38.56,28.64,17.43,0.96,7.99,57.36,,,,141,Moderate
Bhopal,10/12/2019,48.92,175.24,17.8,56.37,44.45,15.28,1.37,10.03,61.57,,,,140,Moderate
Bhopal,10/13/2019,55.86,199.68,30.94,61.95,58.11,19.45,1.47,9.7,63.59,,,,168,Moderate
Bhopal,10/14/2019,44.56,159.02,5.46,33.55,22.29,16.73,0.88,10.87,86.69,,,,159,Moderate
Bhopal,10/15/2019,49.07,160.57,9.73,47.42,33.14,19.9,0.96,10.06,71.97,,,,141,Moderate
Bhopal,10/16/2019,53.62,185.45,20.64,46.41,41.46,19.78,1.03,10.75,69.49,,,,148,Moderate
Bhopal,10/17/2019,60.57,168.04,25.18,44.07,43.92,19.13,1.11,11.46,68.71,,,,155,Moderate
Bhopal,10/18/2019,69.65,176.36,15.09,54.27,41.14,22.23,1.5,8.69,62.63,,,,159,Moderate
