City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Brajrajnagar,12/7/2017,171.38,311.68,,41.07,,7.78,3.26,5.83,4.69,0,,,,
Brajrajnagar,12/8/2017,126.67,192.81,,20.16,,7.97,2.94,5.43,10.51,0,,,304,Very Poor
Brajrajnagar,12/9/2017,105.11,154.39,,18.4,,8.15,2.83,5.1,10.33,0,,,291,Poor
Brajrajnagar,12/10/2017,65.25,99.73,,15.21,,7.9,2.74,4.75,8.37,0,,,189,Moderate
Brajrajnagar,12/11/2017,,,,,,,,,,,,,,
Brajrajnagar,12/12/2017,144.54,218.14,,22.63,,8.48,2.72,8.54,30.14,0,,,,
Brajrajnagar,12/13/2017,153.61,227.43,,18.47,,8.9,2.78,7.84,16.28,0,,,320,Very Poor
Brajrajnagar,12/14/2017,129.38,199.46,,17.77,,9.13,2.76,6.52,7.1,0,,,319,Very Poor
Brajrajnagar,12/15/2017,115.35,178.56,,16.99,,8.88,2.7,6.04,7.03,0,,,302,Very Poor
Brajrajnagar,12/16/2017,102,165.18,,15.96,,8.54,2.58,5.74,7,0,,,267,Poor
Brajrajnagar,12/17/2017,76.19,128.13,,17.33,,8.03,2.45,5.51,7.53,0,,,191,Moderate
Brajrajnagar,12/18/2017,72.55,124.51,,20.44,,7.18,2.5,5.91,7.15,0,,,138,Moderate
Brajrajnagar,12/19/2017,70.49,118.77,0.03,12.24,0.06,6.96,2.78,4.29,6.41,0,,,155,Moderate
Brajrajnagar,12/20/2017,,,0.02,0.03,0.04,,3.03,0.84,0.04,,,,,
Brajrajnagar,12/21/2017,,,0.02,0.03,0.04,,3.07,0.64,0.02,,,,,
Brajrajnagar,12/22/2017,,,0.02,0.02,0.04,,3.17,0.62,0.03,,,,,
Brajrajnagar,12/23/2017,,,,,,,,,,,,,,
Brajrajnagar,12/24/2017,,,,,,,,,,,,,,
Brajrajnagar,12/25/2017,,,,,,,,,,,,,,
Brajrajnagar,12/26/2017,,,,,,,,,,,,,,
Brajrajnagar,12/27/2017,,,0.02,0.03,0.04,,2.91,0.58,0.01,,,,,
Brajrajnagar,12/28/2017,,,0.02,0.02,0.04,,3.23,0.61,0.02,,,,,
Brajrajnagar,12/29/2017,,,0.03,0.02,0.04,,3.34,0.64,0.02,,,,,
Brajrajnagar,12/30/2017,,,0.02,0.03,0.03,,3.57,0.69,0.01,,,,,
Brajrajnagar,12/31/2017,,,,0.03,,,,,,,,,,
