City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Chandigarh,9/2/2019,13.62,87.4,8.15,4.28,12.15,0.78,0.55,10.12,45.86,3.42,0.33,4.15,,
Chandigarh,9/3/2019,27.93,95.68,9.72,4.71,14.19,0.88,0.79,9.36,30.18,3.39,0.04,3.82,93,Satisfactory
Chandigarh,9/4/2019,34.05,90.68,16.53,9.83,25.86,1.68,0.93,4.27,17.23,5.27,0.89,21.98,96,Satisfactory
Chandigarh,9/5/2019,,59.99,11.03,4.9,16.06,1.11,0.58,14.1,26.81,4.77,1.81,57.52,77,Satisfactory
Chandigarh,9/6/2019,,65.86,7.3,2.69,9.88,1.38,0.9,9.26,9.36,2.81,2.13,43.24,,
Chandigarh,9/7/2019,,91.04,10.35,3.73,14.09,1.7,0.78,10.48,16.77,17.23,2.02,51.82,84,Satisfactory
Chandigarh,9/8/2019,,64.62,8.64,3.06,4.68,1.53,0.49,8.71,23.08,9.04,1.93,4.64,88,Satisfactory
Chandigarh,9/9/2019,,89.94,6.5,2.63,8.91,1.06,0.67,9.52,40.5,5.36,2.36,1.39,,
Chandigarh,9/10/2019,,97.12,7.68,2.76,10.41,1.37,0.75,8.71,33.4,4.53,2.14,1.4,88,Satisfactory
Chandigarh,9/11/2019,,122.52,7.93,3.08,11.04,1.34,0.75,8.51,34.62,6.02,2.33,1.29,107,Moderate
Chandigarh,9/12/2019,,125.4,7.32,3.89,11.28,1.53,0.7,6.02,29.28,6.72,2.2,1.34,121,Moderate
Chandigarh,9/13/2019,,62.29,8.23,5.34,10.71,1.09,0.49,7.76,26.61,8.35,2.03,1.25,90,Satisfactory
Chandigarh,9/14/2019,,65.68,8.81,4.62,10.75,1.06,0.6,7.55,24.06,5.09,1.91,1.27,69,Satisfactory
Chandigarh,9/15/2019,,72.54,7.44,2.62,9.98,1.25,0.55,10.1,31.07,3.91,1.87,1.34,68,Satisfactory
Chandigarh,9/16/2019,,106.87,6.47,2.47,8.38,1.08,0.54,9.84,36.46,3.82,1.86,1.36,96,Satisfactory
Chandigarh,9/17/2019,,119.42,6.87,2.77,9.65,1.17,0.64,10.68,41.84,4.81,2.13,1.37,102,Moderate
Chandigarh,9/18/2019,,118.59,5.99,4.62,10.49,1.25,0.66,11.07,44.79,4.57,2.05,1.27,120,Moderate
Chandigarh,9/19/2019,38.1,61.67,7.61,3.3,10.9,1.37,0.65,14.74,26.14,7.14,1.94,2.15,88,Satisfactory
Chandigarh,9/20/2019,40.41,67.91,10.52,3.96,12.79,3.76,0.55,9.97,28.6,4.46,2.02,1.48,71,Satisfactory
Chandigarh,9/21/2019,27.21,62.04,8.6,7.2,10.64,5.9,0.53,9.63,34.72,3.57,2.08,1.32,69,Satisfactory
Chandigarh,9/22/2019,29.75,64.56,10.22,5.64,11.21,5.98,0.55,8.67,21.21,4,1.72,1.31,68,Satisfactory
Chandigarh,9/23/2019,18.35,49.86,9.53,4.55,10.1,5.94,0.51,8.83,27.24,5.97,5.59,7.5,59,Satisfactory
Chandigarh,9/24/2019,34.43,89.26,9.8,4.23,10.04,5.87,0.66,8.71,37.1,4.85,2.52,1.49,74,Satisfactory
Chandigarh,9/25/2019,33.66,105.3,10.94,6.56,11.8,5.97,0.73,8.19,21.1,5.69,2.16,1.39,102,Moderate
Chandigarh,9/26/2019,22.93,73.73,13.33,6.05,10.8,6.34,0.79,12.05,17.26,4.74,1.81,1.28,94,Satisfactory
Chandigarh,9/27/2019,16,57.51,18.72,5.25,17.25,6.51,0.83,12.05,24.57,7.3,1.96,1.25,80,Satisfactory
Chandigarh,9/28/2019,22.41,59.18,18.75,5.06,17.87,6.57,0.56,13.4,31.23,4.98,1.65,1.36,77,Satisfactory
Chandigarh,9/29/2019,13.93,49.87,12.76,3.31,7.67,6.1,0.5,14.95,16.21,2.79,1.66,1.55,48,Good
Chandigarh,9/30/2019,,87.46,23.3,5.59,19.89,6.79,0.81,18.05,9.66,8.22,2.29,3.12,,
Chandigarh,10/1/2019,24.45,49.4,27.37,5.3,24.85,7.27,0.85,16.05,12.58,6.07,1.89,2.33,68,Satisfactory
Chandigarh,10/2/2019,15.77,44.47,13.35,5.38,13.63,6.2,0.54,15.9,20.96,4.99,2.73,1.79,58,Satisfactory
Chandigarh,10/3/2019,29.59,71,10.47,7.86,12.9,6.24,0.71,16.42,19.05,6.85,2.43,1.85,58,Satisfactory
Chandigarh,10/4/2019,30.27,73.77,7.99,8.1,10.54,5.76,0.46,18.14,16.87,4.5,2.51,1.64,74,Satisfactory
Chandigarh,10/5/2019,25.9,77.68,9.62,4.75,10.27,5.9,0.44,15.09,17.33,4.37,2.27,1.41,72,Satisfactory
Chandigarh,10/6/2019,38.69,82.66,10.07,4.05,10.31,6.01,0.49,14.44,15.07,4.07,1.45,1.58,83,Satisfactory
Chandigarh,10/7/2019,53.09,112.6,8.63,5,9.58,5.96,0.51,11.35,17.72,4.88,0.65,1.67,94,Satisfactory
Chandigarh,10/8/2019,43.67,104.59,10.14,4.64,10.57,5.99,0.61,12.42,13.96,4.7,0.92,1.96,106,Moderate
Chandigarh,10/9/2019,53.12,120.09,17.13,5.73,16.77,6.57,0.85,13.54,16.92,5.99,1.07,2.17,108,Moderate
Chandigarh,10/10/2019,56.82,121.89,13.25,6.53,13.7,6.21,0.74,12.52,19.27,7.2,0.99,1.89,117,Moderate
Chandigarh,10/11/2019,50.45,106.22,13.64,6.51,14.27,6.27,0.74,10.38,11.03,5.31,0.86,1.76,107,Moderate
Chandigarh,10/12/2019,58.03,106.62,13.94,5.64,14.67,6.25,0.72,12.45,26.84,6.49,0.89,1.99,107,Moderate
