City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Chennai,1/1/2015,,,16.3,15.39,22.68,4.59,1.17,9.2,11.35,0.17,,,,
Chennai,1/2/2015,,,16.49,13.42,23.09,7.83,1.23,8.61,9.16,0.13,,,,
Chennai,1/3/2015,,,9.72,19.56,9.99,4.63,0.77,48.23,13.45,0.03,,,,
Chennai,1/4/2015,,,9.6,16.2,11.71,5.23,1,27.96,10.33,,,,,
Chennai,1/5/2015,,,9.16,16.3,12.94,5.5,0.9,16.6,9.36,,,,,
Chennai,1/6/2015,,,30.58,35.6,13.42,5.46,0.91,21.98,12.61,0.57,,,,
Chennai,1/7/2015,,,43.92,46.38,13.32,4.9,1.22,28.13,13.94,0.2,,,,
Chennai,1/8/2015,,,26.74,37.79,10.98,3.71,1.15,21.26,38.29,0.97,3.54,,,
Chennai,1/9/2015,,,39.24,42.65,10.52,5.81,1.31,22.82,27.34,3.1,14.68,,,
Chennai,1/10/2015,,,10.2,19.17,11.15,3.96,0.98,17.36,27.19,0.04,,,,
Chennai,1/11/2015,,,55.04,49.87,14.65,3.77,0.8,21.75,19.04,0.39,,,,
Chennai,1/12/2015,,,23.78,30.31,15.71,4.16,1.07,28.51,18.32,0.1,,,,
Chennai,1/13/2015,,,48.95,64.35,12.73,6.06,0.97,16.44,17.25,0.78,0.96,,,
Chennai,1/14/2015,,,29.88,38.23,15.74,8.79,1.22,20.32,23.68,2.67,,,,
Chennai,1/15/2015,,,18.58,23.87,12.97,4.53,1.01,21.92,14.1,0.24,,,,
Chennai,1/16/2015,,,12.29,18.39,12.51,4.03,1.17,13.18,13.22,0.14,,,,
Chennai,1/17/2015,,,9.57,17.4,12.93,3.77,1.7,10.44,26.34,0.03,,,,
Chennai,1/18/2015,,,24.48,30.7,9.26,3.63,1.12,11.33,29.08,0.09,,,,
Chennai,1/19/2015,,,42.76,41.8,9.43,3.82,2.35,9.72,27.45,0.31,,,,
Chennai,1/20/2015,,,21.82,27.9,11.76,20.14,1.99,8.52,32.32,0.06,,,,
Chennai,1/21/2015,,,43.8,59.26,8.54,3.85,1.79,9.28,18.84,9.48,,,,
Chennai,1/22/2015,,,45.63,46.77,8.85,4.6,1.43,7.64,24.98,12.58,,,,
Chennai,1/23/2015,,,34.64,37.55,10.49,4.01,3.43,10.57,42.33,7.99,,,,
Chennai,1/24/2015,,,12.39,9.89,14.62,4.36,0.84,7.39,37.17,,,,,
Chennai,1/25/2015,,,34.39,10.14,14.56,3.98,0.85,7.16,17.11,,,,,
Chennai,1/26/2015,,,30.07,10.44,14.43,3.53,2.07,7.38,20.18,,,,,
Chennai,1/27/2015,,,8.83,12.63,13.41,4.28,1.16,7.14,27.02,,,,,
Chennai,1/28/2015,,,10.41,16.83,14.9,3.69,2.81,8.06,36.68,,8.98,,,
