City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Coimbatore,6/12/2019,38.46,43.49,6.68,4.31,10.98,9.32,1.16,10.25,29.8,0.04,0.43,,,
Coimbatore,6/13/2019,21.57,27.05,6.57,4.95,11.52,8.8,1.14,9.75,25.46,0.04,0.23,,65,Satisfactory
Coimbatore,6/14/2019,25.27,32.08,6.86,5.35,12.21,8.21,1.18,10.92,23.45,0.04,0.31,,66,Satisfactory
Coimbatore,6/15/2019,30.04,35.85,7.37,6.23,13.6,7.35,1.15,10.51,17.24,0.04,0.27,,60,Satisfactory
Coimbatore,6/16/2019,24.54,31.41,6.23,4.1,10.33,6.65,1.11,9,22.96,0.02,0.09,,62,Satisfactory
Coimbatore,6/17/2019,33.9,46.17,6.38,4.63,11.01,5.88,1.2,10.29,21.44,0.03,0.2,,64,Satisfactory
Coimbatore,6/18/2019,52.45,60.71,6.4,4.83,11.23,8.29,1.29,13.17,21.6,0.02,0.07,,76,Satisfactory
Coimbatore,6/19/2019,41.86,53.51,6.42,5.13,11.54,7.91,1.23,10.78,26.17,0,0,,82,Satisfactory
Coimbatore,6/20/2019,31.96,40.35,10.09,8.43,18.53,8.5,1.06,10.19,24.67,0,0,,68,Satisfactory
Coimbatore,6/21/2019,30.91,41.09,11.92,11.82,22,25.32,1.37,16.35,32.98,0,0,,,
Coimbatore,6/22/2019,25.27,31,7.16,9.76,16.92,17.23,1.13,12.64,24.69,0,0,,67,Satisfactory
Coimbatore,6/23/2019,14.62,21.66,6.14,7.23,13.37,11.82,0.92,9.3,29.76,0,0,,58,Satisfactory
Coimbatore,6/24/2019,31.72,40.05,7.53,9.86,17.39,12.78,1.01,10.14,25.1,0,0,,53,Satisfactory
Coimbatore,6/25/2019,45.61,58.71,7.41,8.76,16.17,16.78,1.07,12.19,23.55,0,0,,73,Satisfactory
Coimbatore,6/26/2019,47.61,60.24,7.68,9.09,16.77,17.37,1.08,11.53,22.5,0,0,,75,Satisfactory
Coimbatore,6/27/2019,40.11,58.23,7.7,8.03,15.73,16.98,1.09,12.98,20.05,0,0,,72,Satisfactory
Coimbatore,6/28/2019,40.07,54.75,7.08,7.6,14.68,16.77,1.09,11.29,22.67,0,0,,66,Satisfactory
Coimbatore,6/29/2019,39.21,54.24,6.98,7.64,14.62,16.48,1.05,11.11,24.46,0,0,,68,Satisfactory
Coimbatore,6/30/2019,24.28,33.56,6.03,5.44,11.47,13.2,0.91,9.87,23.45,0,0,,56,Satisfactory
Coimbatore,7/1/2019,25.21,39.66,7.14,7.22,14.36,13.79,0.89,9.53,21.47,0.02,0.13,,46,Good
Coimbatore,7/2/2019,32.92,46.75,9.74,8.87,18.61,23.1,1.13,12.05,21.03,0.06,0.19,,61,Satisfactory
Coimbatore,7/3/2019,32.66,44.95,9.48,8.66,18.14,17.79,1.14,10.79,16.94,0.05,0.29,,64,Satisfactory
Coimbatore,7/4/2019,40.89,49.26,9.23,9.57,18.79,,1.11,10.44,16.05,0.05,0.25,,64,Satisfactory
Coimbatore,7/5/2019,31.52,39.65,9.43,7.96,17.39,,1.19,10.58,17.62,0.06,0.29,,70,Satisfactory
Coimbatore,7/6/2019,34.24,42.61,9.66,7.25,16.91,,1.29,12.44,18.07,0.09,0.3,,78,Satisfactory
Coimbatore,7/7/2019,18.28,24.06,8.25,5,13.25,,1.02,9.08,17.73,0.03,0.06,,64,Satisfactory
Coimbatore,7/8/2019,20.57,30.17,21.38,9.03,16.33,28.83,1.08,9.95,18.84,0.04,0.22,,57,Satisfactory
Coimbatore,7/9/2019,22.24,30.83,12.11,16.56,28.67,33.46,1.1,9.17,15.45,0.03,0.27,,60,Satisfactory
Coimbatore,7/10/2019,32.66,42.31,10.8,16.06,26.86,32.64,1.12,10.15,20.99,0.04,0.22,,60,Satisfactory
Coimbatore,7/11/2019,38.05,50.06,11.61,18.12,29.73,31.08,1.16,9.78,21.53,0.04,0.36,,62,Satisfactory
Coimbatore,7/12/2019,43.69,57.64,13.81,16.21,30.02,30.6,1.21,9.97,15.25,0.04,0.42,,70,Satisfactory
Coimbatore,7/13/2019,33.18,43.18,11.79,16.49,28.28,28.84,1.2,9.32,17.25,0.03,0.31,,68,Satisfactory
Coimbatore,7/14/2019,20.3,28.53,11.04,15.35,26.39,26.22,1.08,8.76,16.49,0.02,0.15,,58,Satisfactory
Coimbatore,7/15/2019,25.52,37.46,9.89,15.81,25.7,26.58,1.17,10.05,23.05,0.04,0.27,,61,Satisfactory
Coimbatore,7/16/2019,33.77,60.13,10.69,16.19,26.88,27.95,1.11,9.86,20.52,0.04,0.34,,67,Satisfactory
Coimbatore,7/17/2019,26,34.04,11.83,16.04,27.87,28.33,1.03,9.67,20.58,0.03,0.38,,59,Satisfactory
Coimbatore,7/18/2019,,34.95,15.72,18.42,31.9,27.8,1.05,9.47,16.45,0.02,0.2,,,
