City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ernakulam,1/22/2020,37.48,80.65,127.81,7.76,135.57,101.97,1.94,3.34,,0.64,1.01,0.12,,
Ernakulam,1/23/2020,,,,,,,,,,,,,,
Ernakulam,1/24/2020,41.13,68.71,125.76,7.95,133.71,102.66,1.12,3.46,,0.68,1.87,0.31,,
Ernakulam,1/25/2020,53,84.58,126.22,7.8,134.02,104.05,1.17,3.48,,0.9,1.93,0.19,154,Moderate
Ernakulam,1/26/2020,58.31,85.47,125.14,7.95,133.09,103.2,1.2,3.54,,1.15,1.83,0.18,153,Moderate
Ernakulam,1/27/2020,53.06,80.24,152.12,5.9,156.21,133.25,1.24,3.49,,1.34,2.34,0.2,159,Moderate
Ernakulam,1/28/2020,60.99,95.07,133.5,7.48,140.31,107.43,1.37,3.64,,1.62,2.5,0.3,180,Moderate
Ernakulam,1/29/2020,57.41,96.7,67.41,16.13,83.55,36.6,1.35,3.59,,5.05,9.85,1.39,127,Moderate
Ernakulam,1/30/2020,43.89,79.3,44.57,19.16,63.72,19.41,1.35,3.54,,4.97,6.4,0.94,96,Satisfactory
Ernakulam,1/31/2020,35.45,78.48,43.56,19.28,62.85,28.95,1.27,3.58,,3.9,5.24,0.73,89,Satisfactory
Ernakulam,2/1/2020,38.01,74.51,41.56,19.55,61.12,27.62,1.17,3.53,,1.35,2.58,0.2,86,Satisfactory
Ernakulam,2/2/2020,38.63,67.05,39.98,19.76,59.74,26.53,1.08,3.54,,1.77,4.24,0.39,77,Satisfactory
Ernakulam,2/3/2020,40.97,72.23,39.32,13.29,57.08,26.07,1.13,3.53,,1.06,2.01,0.16,80,Satisfactory
Ernakulam,2/4/2020,54.34,89.68,37.19,5.13,52.02,24.66,1.41,3.44,,1.08,1.94,0.3,92,Satisfactory
Ernakulam,2/5/2020,52.85,95.99,34.89,3.9,43.67,23.18,1.41,3.48,,1.05,1.73,0.27,97,Satisfactory
Ernakulam,2/6/2020,35.61,69.55,33.26,0.72,29.33,21.83,1.36,3.64,,0.75,1.49,0.19,95,Satisfactory
