City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Gurugram,11/27/2015,,,5.28,8.37,9.57,,2.88,15.92,5.96,,,,,
Gurugram,11/28/2015,,,4.71,8,9.74,,0.47,5.78,8.13,,,,,
Gurugram,11/29/2015,,,3.1,8.04,8.69,,1.67,5.26,16.52,,,,,
Gurugram,11/30/2015,,,3.9,8.21,9.54,,1.45,7.51,6.29,,,,,
Gurugram,12/1/2015,,,3.36,8.13,8.86,,1.45,3.72,10.5,,,,,
Gurugram,12/2/2015,,,7.59,10.25,11.2,,2.08,6.99,10.1,,,,,
Gurugram,12/3/2015,,,13.11,14.27,14.32,,0.66,2.69,8.75,,,,,
Gurugram,12/4/2015,,,14.32,12.84,13.94,,3.91,14.63,16.09,,,,,
Gurugram,12/5/2015,,,12.82,15.38,14.28,,2.09,9.1,19.52,,,,,
Gurugram,12/6/2015,,,,,,,,,,,,,,
Gurugram,12/7/2015,,,13.35,14.02,14.55,,1.63,3.75,25.7,,,,,
Gurugram,12/8/2015,,,13.57,14.27,15.36,,1.72,5.47,25.28,,,,,
Gurugram,12/9/2015,,,11.96,13.8,14.81,,1.38,4.25,14.06,,,,,
Gurugram,12/10/2015,,,12.63,12.82,14.9,,1.47,2.03,1.97,,,,,
Gurugram,12/11/2015,,,12.92,15.34,14.71,,1.42,12.16,15.02,,,,,
Gurugram,12/12/2015,,,14.65,14.3,14.68,,0.42,4.67,2.86,,,,,
Gurugram,12/13/2015,,,,,,,,,,,,,,
Gurugram,12/14/2015,,,12.69,15.39,14.21,,0.68,8,30.92,,,,,
Gurugram,12/15/2015,,,15.48,13.39,15.09,,0.2,4.22,21.46,,,,,
Gurugram,12/16/2015,,,14.27,14.84,15.07,,1.39,5.73,15.37,,,,,
Gurugram,12/17/2015,,,,,,,,,,,,,,
Gurugram,12/18/2015,,,,,,,,,,,,,,
Gurugram,12/19/2015,,,,,,,,,,,,,,
Gurugram,12/20/2015,,,,,,,,,,,,,,
Gurugram,12/21/2015,,,15.58,17.88,15.35,,1.96,12.38,20.65,,,,,
Gurugram,12/22/2015,,,15.8,17.05,15.57,,2.44,10.24,1.24,,,,,
Gurugram,12/23/2015,,,16.01,16.16,15.54,,1.74,18.91,14.1,,,,,
Gurugram,12/24/2015,,,14.41,13.23,14.99,,1.69,2.89,1.55,,,,,
Gurugram,12/25/2015,,,13.82,13,14.46,,1.51,4.79,14.64,,,,,
Gurugram,12/26/2015,,,12.02,14.5,14.42,,1.59,5.04,13.92,,,,,
Gurugram,12/27/2015,,,10.57,14.55,13.84,,1.42,5.06,14.77,,,,,
Gurugram,12/28/2015,,,9.57,13.7,12.97,,1.44,5.94,16.97,,,,,
Gurugram,12/29/2015,,,10.46,14.44,14.26,,1.39,5.63,19.21,,,,,
Gurugram,12/30/2015,,,9.88,13.16,12.53,,1,14.24,21.88,,,,,
Gurugram,12/31/2015,,,12.63,13.98,14.61,,1.43,5.41,28.88,,,,,
Gurugram,1/1/2016,,,12.11,15.1,14.49,,0.43,25.52,27.4,,,,,
Gurugram,1/2/2016,,,10.68,14.8,13.37,,1.22,46.7,1.25,,,,,
Gurugram,1/3/2016,,,,,,,,,,,,,,
Gurugram,1/4/2016,,,12.39,16.17,13.13,,1.32,4.76,25.02,,,,,
Gurugram,1/5/2016,,,,,,,,,,,,,,
Gurugram,1/6/2016,,,,,,,,,,,,,,
Gurugram,1/7/2016,,,16.64,10.41,14.05,,1.14,11.81,9.84,,,,,
Gurugram,1/8/2016,,,17.47,10.07,14.86,,0.82,11.32,1.6,,,,,
Gurugram,1/9/2016,,,17.79,8.73,14.56,,,6.06,1.54,,,,,
Gurugram,1/10/2016,,,,,,,,,,,,,,
Gurugram,1/11/2016,,,16.55,8.36,13.92,,1.98,7.83,16.98,,,,,
Gurugram,1/12/2016,,,15.19,8.94,14.2,,1.18,5.99,8.56,,,,,
Gurugram,1/13/2016,,,,,,,,,,,,,,
Gurugram,1/14/2016,,,16.48,8.06,13.46,,0.2,10.26,8.32,,,,,
Gurugram,1/15/2016,,,13.83,10.26,12.5,,1,7.19,11.67,,,,,
Gurugram,1/16/2016,,,19.59,10.41,16.37,,0.87,4.68,12.4,,,,,
Gurugram,1/17/2016,,,17.31,10.1,15.53,,1.49,5.73,11.22,,,,,
