City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Guwahati,2/16/2019,124.77,187.08,,,,,,,,,,,,
Guwahati,2/17/2019,50.82,118.01,4.03,9.3,16.56,29.24,0.48,14.03,17.67,1.07,,,92,Satisfactory
Guwahati,2/18/2019,58.31,85.39,3.67,10.82,17.63,23.6,0.47,14.47,33.85,0.88,,,122,Moderate
Guwahati,2/19/2019,59.88,78.04,3.16,9.65,15.51,19.03,0.51,16.42,41.23,1,,,80,Satisfactory
Guwahati,2/20/2019,55.61,92.36,2.89,11.71,17.3,16.68,0.49,27.07,44.89,0.98,,,105,Moderate
Guwahati,2/21/2019,83.66,134.1,15.72,13.63,40.44,17.55,1.09,25.9,43.69,2.29,,,105,Moderate
Guwahati,2/22/2019,141.8,243.91,58.55,21.87,119.49,23.72,1.52,23.99,32.2,3.88,,,293,Poor
Guwahati,2/23/2019,133.26,219.95,48.9,19.93,101.61,23.86,1.13,25.62,36.21,3.43,,,321,Very Poor
Guwahati,2/24/2019,69.9,114.89,12.51,10.49,31.77,23.12,0.54,18.96,21.58,1.33,,,206,Poor
Guwahati,2/25/2019,129.88,234.82,30.44,24.76,76.53,24.91,1.8,19.02,20.15,4.4,,,,
Guwahati,2/26/2019,94.29,173.04,47.75,17.65,97.08,28.03,1.11,16.71,16.98,2.93,,,285,Poor
Guwahati,2/27/2019,60.89,98.85,11.36,13.79,33.42,27.84,0.64,17.6,30.81,1.38,,,152,Moderate
Guwahati,2/28/2019,62,76.05,6.13,11.73,22.6,25.34,0.67,15.72,19.09,1.31,,,93,Satisfactory
Guwahati,3/1/2019,69.01,104.75,18.25,11.5,42.29,22.89,0.85,16.11,18.39,2.09,,,113,Moderate
Guwahati,3/2/2019,89.55,152.36,38.49,18.77,83.29,18.52,1.06,22.36,36.19,2.94,,,183,Moderate
Guwahati,3/3/2019,106.89,199.74,50.2,18.6,102.36,18.98,1.26,21.78,29.67,3.54,,,226,Poor
Guwahati,3/4/2019,97.6,185.68,42.72,15.4,86.63,21.65,0.92,16.91,30.05,7.08,,,277,Poor
Guwahati,3/5/2019,68.21,119.93,3.1,9.74,15.53,18.33,0.62,20.25,47.8,1.49,,,126,Moderate
Guwahati,3/6/2019,63.29,90.92,4.3,10.2,17.98,21.26,0.54,19.66,43.86,1.22,,,148,Moderate
Guwahati,3/7/2019,74.81,112.75,17.25,15.01,44.42,23.67,0.85,16.5,25.03,3,,,102,Moderate
Guwahati,3/8/2019,104.14,177.76,44.55,21.06,95.72,24.09,1.19,19.3,24.21,4.46,,,236,Poor
Guwahati,3/9/2019,116.75,206.29,49.98,21.55,105.15,23.52,1.19,18.87,18.93,4.07,,,265,Poor
Guwahati,3/10/2019,124.9,237.1,32.68,19.23,74.24,21.46,1.09,24.61,46.36,2.61,,,303,Very Poor
Guwahati,3/11/2019,124.94,213.84,33.84,17.73,74.55,23.91,1.31,23.78,37.83,3.21,,,267,Poor
Guwahati,3/12/2019,123.34,206.87,43.05,16.95,88.79,25.52,0.99,23.95,48.98,3.65,,,316,Very Poor
Guwahati,3/13/2019,100.41,187.83,14.3,21.98,47.03,19.71,1.03,21.27,47.36,2.2,,,212,Poor
Guwahati,3/14/2019,138.45,258.63,41.09,30.42,100.02,22.77,1.29,23.2,41.21,3.22,,,303,Very Poor
Guwahati,3/15/2019,138.03,280.4,37.55,24.74,88.13,27.43,1.23,20.42,31.23,2.87,,,321,Very Poor
Guwahati,3/16/2019,131.69,322.56,26.94,23.71,69.62,26.43,1.03,17.5,17.1,2.24,,,312,Very Poor
Guwahati,3/17/2019,105.33,191.58,13.36,24.87,48.6,24.28,1.12,21.56,34.22,3.42,,,231,Poor
Guwahati,3/18/2019,153.22,269.54,43.03,31.59,104.49,25.47,1.61,27.63,28.29,3.73,,,308,Very Poor
Guwahati,3/19/2019,91.58,145.24,16.57,16.31,44.67,25.42,0.9,21.79,46.73,1.77,,,303,Very Poor
Guwahati,3/20/2019,66.5,100.2,8.26,15.9,30.58,21.3,0.82,20.72,42.59,1.54,,,118,Moderate
Guwahati,3/21/2019,73.33,200.77,6.29,12.45,23.67,17.6,0.59,22.51,59.44,4.3,,,148,Moderate
Guwahati,3/22/2019,53.17,244.18,2.47,8.41,13.07,14.5,0.4,24.26,65.28,0.75,,,198,Moderate
Guwahati,3/23/2019,67.46,139.67,4,12.05,19.48,14.17,0.72,24.23,43.92,1.51,,,150,Moderate
Guwahati,3/24/2019,70.83,143.99,9.08,14.69,30.63,14.97,0.86,26.9,49.96,1.74,,,123,Moderate
Guwahati,3/25/2019,118.05,236.55,39.03,26.61,92.58,18.56,1.21,25.51,47.1,2.59,,,268,Poor
Guwahati,3/26/2019,119.32,225.03,33.81,24.83,82.09,23.34,1.12,24.25,34.24,2.27,,,306,Very Poor
Guwahati,3/27/2019,62.29,87.81,3.88,10.6,17.76,22.19,0.67,17.84,30.71,1.08,,,156,Moderate
Guwahati,3/28/2019,79.69,138.38,15.8,18.47,45.75,22.37,0.93,21.41,41.97,1.84,,,109,Moderate
Guwahati,3/29/2019,114.47,203.18,44.78,29.01,104.59,25.66,1.26,23.39,34.37,3.22,,,258,Poor
Guwahati,3/30/2019,140.62,225.28,23.24,23.92,63.81,25.77,1.26,34.54,26.71,3.34,,,300,Poor
Guwahati,3/31/2019,48.63,64.89,3.37,11.86,18.25,23.15,0.5,19.19,45.26,0.91,,,236,Poor
Guwahati,4/1/2019,35.72,50.06,5.84,11.66,22.08,17.19,0.76,18.67,43.8,1.26,,,74,Satisfactory
Guwahati,4/2/2019,58.96,91.04,12.89,14.85,37.05,18.8,0.76,22.37,36.43,1.34,,,109,Moderate
Guwahati,4/3/2019,23.13,153.45,2.57,13.17,18.32,14.1,0.43,26.11,63.06,0.63,,,99,Satisfactory
Guwahati,4/4/2019,29.99,62.01,2.54,11.69,16.7,13.07,0.37,32.4,55.27,0.65,,,120,Moderate
Guwahati,4/5/2019,25.78,36.21,3.58,12.24,19.01,12.53,0.46,18.57,45.95,7.07,,,61,Satisfactory
Guwahati,4/6/2019,56.1,82.28,9.85,15.92,33.23,13.76,0.74,19.42,32.52,1.54,,,74,Satisfactory
Guwahati,4/7/2019,43.93,69.9,9.78,13.05,30.04,14.9,0.64,22.18,36.2,0.88,,,103,Moderate
Guwahati,4/8/2019,28.95,40.1,4.23,11.5,19.28,13.98,0.48,17.93,38.96,4.3,,,59,Satisfactory
Guwahati,4/9/2019,30.06,40.09,5.18,14.44,23.96,12.78,0.56,16.14,30.94,0.93,,,53,Satisfactory
Guwahati,4/10/2019,37.76,67.42,12.41,14.69,36.13,12.7,0.75,17.21,43.24,1.42,,,74,Satisfactory
Guwahati,4/11/2019,66.63,135.87,29.45,18.87,68.61,17.3,1.03,21.65,36.44,1.73,,,114,Moderate
Guwahati,4/12/2019,79.26,153.64,22.78,25.1,64.26,16.62,0.95,20.12,40.9,2.06,,,161,Moderate
Guwahati,4/13/2019,85.8,141.6,12.13,25.11,46.8,16.31,0.88,19.03,41,1.47,,,179,Moderate
Guwahati,4/14/2019,51.4,76.17,5.16,19.16,29,13.48,0.59,18.75,41.84,1.12,,,140,Moderate
Guwahati,4/15/2019,47.34,61.7,3.98,16.23,23.92,10.45,0.66,17.31,33.38,0.97,,,67,Satisfactory
Guwahati,4/16/2019,42.85,56.26,3.8,16.64,24.06,9.93,0.55,16.33,44.77,1.02,,,90,Satisfactory
Guwahati,4/17/2019,87.16,110.57,11.34,18.99,38.95,10.46,0.84,17.26,39.13,19.37,,,92,Satisfactory
Guwahati,4/18/2019,58.84,108.28,18.52,13,44.3,14.55,0.78,16.8,23.46,82.72,,,181,Moderate
Guwahati,4/19/2019,58.98,108.56,10.25,16.64,34.65,13.91,0.8,17.35,36.7,1.47,,,107,Moderate
Guwahati,4/20/2019,52.39,99.12,3.93,12.81,20.17,12.75,0.52,17.64,52.49,0.84,,,107,Moderate
Guwahati,4/21/2019,36.8,55.86,3.35,12.7,19.12,11.27,0.54,20.37,54.43,0.92,,,86,Satisfactory
Guwahati,4/22/2019,42.87,61.08,4.9,15.48,24.64,11.48,0.59,21.73,54.18,1.22,,,84,Satisfactory
Guwahati,4/23/2019,56.03,88.14,25.1,22.46,65.24,10.86,0.8,17.64,46.95,2.4,,,95,Satisfactory
Guwahati,4/24/2019,76.74,133.16,37.94,31.12,95.62,11.7,1,18.26,19.6,3.43,,,115,Moderate
Guwahati,4/25/2019,96.66,168.91,38.54,31.38,96.88,14.22,1.15,17.29,21.58,2.37,,,202,Poor
Guwahati,4/26/2019,88.27,149.31,29.86,35.39,86.91,15.11,0.92,16.88,26.83,0,,,218,Poor
Guwahati,4/27/2019,57.55,87.53,10.92,17.36,36.49,14.18,0.58,16.95,47.07,0,,,137,Moderate
Guwahati,4/28/2019,32.5,39.5,2.37,10.65,15.29,10.07,0.47,18.21,39.65,0,,,71,Satisfactory
Guwahati,4/29/2019,24.68,36.05,2.5,11.02,15.9,7.5,0.42,18.79,40.92,0.26,,,53,Satisfactory
Guwahati,4/30/2019,13.68,21.96,2,8.73,12.61,7.8,0.36,23.19,45.86,0.53,,,53,Satisfactory
Guwahati,5/1/2019,9.62,14.5,1.93,7.25,10.96,7.04,0.35,22.41,44.3,0.44,,,54,Satisfactory
Guwahati,5/2/2019,28.45,46.41,5.84,14.02,24.56,7.02,0.58,22.91,40.96,0.56,,,67,Satisfactory
Guwahati,5/3/2019,21.9,37.94,4.18,7,14.37,7.21,0.28,28.51,38.57,0.21,,,79,Satisfactory
Guwahati,5/4/2019,916.67,1000,37.7,13.57,69.67,99.42,0.23,48.03,51.3,86.24,,,,
Guwahati,5/5/2019,59.86,91.04,13.12,15.11,33.71,37.06,0.9,31.51,21.49,19.51,,,,
Guwahati,5/6/2019,51.38,87.31,6.08,17,28.18,17.89,0.81,23.26,24.48,0.67,,,80,Satisfactory
Guwahati,5/7/2019,40.8,77.72,9.73,15.16,32.22,15.17,0.56,25.18,55.57,0.49,,,110,Moderate
Guwahati,5/8/2019,25.83,56.37,1.8,9.28,12.9,10.98,0.36,19.51,62.95,0.3,,,76,Satisfactory
Guwahati,5/9/2019,27.82,44.86,1.53,8.06,11.16,8.96,0.38,19.39,67.62,0.29,,,77,Satisfactory
Guwahati,5/10/2019,20.83,44.79,1.59,8.33,11.54,7.62,0.39,19.61,66.8,0.37,,,79,Satisfactory
Guwahati,5/11/2019,23.05,38.97,1.92,9.44,13.27,7.66,0.43,19.7,55.16,0.4,,,73,Satisfactory
Guwahati,5/12/2019,33.35,57.32,2.48,10.32,15.13,8.63,0.57,19.81,35.5,0.46,,,62,Satisfactory
Guwahati,5/13/2019,65.01,85.31,4.49,13.27,19.4,12.61,0.49,19.73,47.25,0.37,,,99,Satisfactory
Guwahati,5/14/2019,28.15,43.75,3,11.58,17.32,14.18,0.44,19.46,62.12,1.42,,,122,Moderate
Guwahati,5/15/2019,19.79,31.95,1.78,12.33,16.15,10.74,0.45,18.08,66.56,0.35,,,86,Satisfactory
Guwahati,5/16/2019,24.78,42.72,2.31,11.17,15.77,8.53,0.47,17.77,51.65,0.4,,,68,Satisfactory
Guwahati,5/17/2019,22.83,34.43,3.17,14.25,20.49,8.09,0.51,17.12,52.04,0.22,,,73,Satisfactory
Guwahati,5/18/2019,21.29,33.06,2.18,9.06,13.28,7.43,0.42,16.41,56.76,0.31,,,70,Satisfactory
Guwahati,5/19/2019,43.79,68.51,4.43,12.25,20.41,7.09,0.78,16.44,35.22,0.47,,,62,Satisfactory
Guwahati,5/20/2019,37.7,67.11,9.4,15.82,32.38,9.71,0.61,16.15,53.11,0.3,,,93,Satisfactory
Guwahati,5/21/2019,31.53,52.71,3.61,13.08,19.94,8.7,0.54,15.87,46.88,3.21,,,68,Satisfactory
Guwahati,5/22/2019,26.94,43.89,2.99,10.37,16.01,8.33,0.44,15.73,45.87,0.22,,,63,Satisfactory
Guwahati,5/23/2019,13.59,22.87,2.23,10.73,15.16,8.69,0.4,15.89,51.75,0.21,,,73,Satisfactory
Guwahati,5/24/2019,11.79,60.02,1.72,9.53,13.04,8.06,0.36,15.81,62.69,0.16,,,71,Satisfactory
Guwahati,5/25/2019,18.92,626.63,3.27,12.52,18.78,5.01,0.55,15.47,39.05,0.23,,,210,Poor
Guwahati,5/26/2019,34.57,492.89,13.08,17.89,40.64,5.68,0.79,15.69,29.29,0.48,,,838,Severe
Guwahati,5/27/2019,27.48,47.82,13.17,17.05,39.87,7.03,0.66,15.93,47.42,0.35,,,149,Moderate
Guwahati,5/28/2019,21.41,37.36,3.32,12.81,19.17,5.97,0.5,16.01,43.42,0.2,,,61,Satisfactory
Guwahati,5/29/2019,43.72,81.41,14.81,18.48,44.13,5.93,0.79,16.31,35.31,0.48,,,72,Satisfactory
Guwahati,5/30/2019,41.37,83.59,17.55,21.24,51.58,7.31,0.75,16.45,51.37,9.94,,,102,Moderate
Guwahati,5/31/2019,26.04,44.89,6.58,18.76,30.9,6.2,0.54,16.06,54.01,0.28,,,79,Satisfactory
Guwahati,6/1/2019,41.11,75.12,16.05,21.67,49.55,6.11,0.81,16.49,37.43,0.59,,,75,Satisfactory
Guwahati,6/2/2019,60.98,110.62,22.75,21.15,59.98,6.24,0.89,16.61,27.05,0.56,,,106,Moderate
Guwahati,6/3/2019,25.38,42.39,2.06,11.09,15.26,6.51,0.46,16.25,45.13,0.27,,,72,Satisfactory
Guwahati,6/4/2019,12.52,21.47,3.09,11.44,17.34,6.66,0.37,16.17,42.61,0.25,,,54,Satisfactory
Guwahati,6/5/2019,17.31,34.47,3.14,9.15,14.94,4.76,0.45,16.17,35.34,0.47,,,48,Good
Guwahati,6/6/2019,30.62,86.21,3.86,13.14,20.4,4.89,0.48,16.34,26.23,0.35,,,55,Satisfactory
Guwahati,6/7/2019,27.55,59.02,6.05,12.89,23.72,7.96,0.6,16.5,33.25,0.43,,,78,Satisfactory
Guwahati,6/8/2019,12.76,21.4,2.89,6.72,11.94,9.85,0.4,16.83,28.39,0.19,,,48,Good
Guwahati,6/9/2019,19.87,31.33,6.06,8.81,19.4,9.92,0.4,16.85,25.78,0.32,,,33,Good
Guwahati,6/10/2019,20.31,38.23,9.79,10.66,27.48,9.98,0.5,14.04,17.28,0.36,,,40,Good
Guwahati,6/11/2019,25.53,41.4,4.31,13.11,21.11,10.74,0.53,10.42,3.18,0.34,,,41,Good
Guwahati,6/12/2019,36.68,72.67,9.54,18.64,35.62,11.22,0.68,10.68,3.23,0.3,,,60,Satisfactory
Guwahati,6/13/2019,47.66,87.66,11.8,16.46,37.01,10.16,0.58,10.53,2.93,0.4,,,99,Satisfactory
Guwahati,6/14/2019,17.68,31.6,6.87,13.25,25.47,9.28,0.44,10.44,1.8,0.4,,,45,Good
Guwahati,6/15/2019,24.04,40.88,3.38,9.73,15.98,8.16,0.54,10.49,3.32,0.38,,,38,Good
Guwahati,6/16/2019,25.93,43.13,3,11.79,17.53,8.27,0.52,10.56,3.79,0.32,,,44,Good
Guwahati,6/17/2019,34.51,49.9,2.2,13.27,17.82,6.8,0.53,10.55,3.63,0.38,,,49,Good
Guwahati,6/18/2019,33.51,55.87,4.68,15.51,24.31,6.04,0.61,10.6,3.15,0.39,,,54,Satisfactory
