City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Hyderabad,1/4/2015,,,3.7,17.19,20.89,,0.3,2.58,30.34,0.41,6.15,1.11,,
Hyderabad,1/5/2015,,,3.61,9.69,13.3,,0.23,5.19,31.28,0.39,7.22,0.55,,
Hyderabad,1/6/2015,,,4.21,22.02,26.23,,0.31,9.09,28.56,0.52,5.14,0.53,,
Hyderabad,1/7/2015,,,26.08,40.08,66.15,,0.53,9.03,31.08,1.92,16.35,2.14,,
Hyderabad,1/8/2015,,,10.31,33.02,43.33,,0.44,8.47,35.72,1.89,14.27,1.58,,
Hyderabad,1/9/2015,,,8.79,31.6,40.39,,0.39,8.92,34.77,0.77,12.47,1.22,,
Hyderabad,1/10/2015,,,8.12,32.52,40.64,,0.43,9.59,34.63,1.14,14.06,1.27,,
Hyderabad,1/11/2015,,,14,31.96,45.96,,0.39,12.53,38.74,1.02,10.4,1.23,,
Hyderabad,1/12/2015,,,13.26,30.2,43.46,,0.48,8.58,20.94,0.92,15.16,1.19,,
Hyderabad,1/13/2015,,,33.63,23.37,57,,0.72,3.01,13.66,2.05,17.65,1.88,,
Hyderabad,1/14/2015,,,32,23.01,55,,0.86,1.77,6.14,1.45,24.04,2.78,,
Hyderabad,1/15/2015,,,16.05,22.18,38.22,,0.64,2.23,9.29,1.1,9.19,1.5,,
Hyderabad,1/16/2015,,,11.73,19.17,30.9,,0.47,2.82,19.01,0.95,7.13,1.19,,
Hyderabad,1/17/2015,,,20.28,20.48,40.76,,0.61,2.65,52.25,1.42,15.21,1.96,,
Hyderabad,1/18/2015,,,13.45,21.93,35.37,,0.55,2.55,7.87,1.01,14.27,1.88,,
Hyderabad,1/19/2015,,,12.24,21.48,33.72,,0.51,2.86,10.88,0.76,9.77,1.4,,
Hyderabad,1/20/2015,,,13.19,20.47,33.66,,0.46,2.63,8.66,0.6,6.7,1.11,,
Hyderabad,1/21/2015,,,12.78,18.09,30.87,,0.4,2.71,5.24,0.55,4.51,0.94,,
Hyderabad,1/22/2015,,,14.64,19.01,33.65,,0.43,3.02,4.11,0.74,4.3,1.11,,
Hyderabad,1/23/2015,,,15.16,21.35,36.51,,0.47,3.37,9.41,0.82,6.23,1.24,,
Hyderabad,1/24/2015,,,5.53,20.44,25.97,,0.38,2.66,30.88,0.65,5.12,1.12,,
Hyderabad,1/25/2015,,,4.32,19.71,24.02,,0.36,2.71,33.1,0.41,3.48,0.98,,
Hyderabad,1/26/2015,,,3.51,13.54,17.06,,0.3,2.69,36.99,0.27,2.22,0.57,,
Hyderabad,1/27/2015,,,4.61,18.54,23.16,,0.33,2.84,36.18,0.33,2.81,0.72,,
Hyderabad,1/28/2015,,,4.55,19.6,24.15,,0.36,2.71,34.95,0.37,3.43,0.86,,
Hyderabad,1/29/2015,,,4.37,20.68,25.05,,0.41,3.19,32.16,0.58,4.61,1.13,,
Hyderabad,1/30/2015,,,8.08,32.1,40.18,,0.55,3.34,25.65,0.77,6.29,1.34,,
Hyderabad,1/31/2015,,,6.68,28.57,35.25,,0.53,5.55,31.78,0.89,7.09,1.64,,
Hyderabad,2/1/2015,,,10.45,32.65,43.1,,0.58,5.06,23.39,0.83,7.44,1.62,,
Hyderabad,2/2/2015,,,5.51,23.89,29.4,,0.4,3.04,30.22,0.39,4.34,0.85,,
Hyderabad,2/3/2015,,,4.29,19.41,23.71,,0.41,3.65,38.1,0.51,4.02,0.9,,
Hyderabad,2/4/2015,,,44.13,45.9,90.03,,0.83,4.64,24.27,1.27,10.52,2.75,,
Hyderabad,2/5/2015,,,30.08,41.93,72.01,,0.78,5.58,26.61,1.2,10.96,2.84,,
Hyderabad,2/6/2015,,,17.96,36.6,54.55,,0.52,4.75,22.69,0.89,7.82,2.02,,
Hyderabad,2/7/2015,,,6.2,22.94,29.14,,0.39,3.97,29.57,0.59,4.46,1.34,,
Hyderabad,2/8/2015,,,4.65,15.96,20.62,,0.32,3.55,46.15,0.43,2.94,0.91,,
Hyderabad,2/9/2015,,,4.38,16.54,20.91,,0.32,3.67,42.7,0.39,3.25,0.8,,
Hyderabad,2/10/2015,,,3.95,12.77,16.73,,0.29,3.38,39.34,0.38,2.81,0.67,,
Hyderabad,2/11/2015,,,,,,,,,,,,,,
Hyderabad,2/12/2015,,,6.82,26.48,33.3,,0.72,1.67,0.02,0.32,1.36,0.32,,
Hyderabad,2/13/2015,,,28.51,12.59,41.1,,0.39,2.32,0.02,0.25,0.76,0.13,,
Hyderabad,2/14/2015,,,,,,,,,,,,,,
Hyderabad,2/15/2015,,,11.16,30.51,41.66,,0.46,6.52,53.2,1.09,10.09,1.68,,
Hyderabad,2/16/2015,,,41.2,45.49,86.7,,0.78,10.51,38.41,1.8,29.81,2.66,,
Hyderabad,2/17/2015,,,44.55,52.83,97.37,,0.78,10.94,27.52,2.49,27.77,2.59,,
Hyderabad,2/18/2015,,,11.4,24.63,36.02,,1.18,6.74,39.42,0.81,8.79,1.64,,
Hyderabad,2/19/2015,,,7.88,17.3,25.18,,0.68,7.38,37.9,0.36,4.28,0.91,,
Hyderabad,2/20/2015,,,4.49,18.22,22.71,,0.33,4.12,32.4,0.34,3.87,0.93,,
Hyderabad,2/21/2015,,,5.19,22.16,27.36,,0.38,4.87,33.24,0.42,5.61,1.05,,
