City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Jaipur,6/14/2017,,,,,,,,,,,,,,
Jaipur,6/15/2017,,,,,,,,,,,,,,
Jaipur,6/16/2017,,,,,,,,,,,,,,
Jaipur,6/17/2017,,,,,,,,,,,,,,
Jaipur,6/18/2017,,,,,,,,,,,,,,
Jaipur,6/19/2017,64.78,99.43,24.97,10.69,,4.73,0.73,7.29,11.1,0,0.57,,,
Jaipur,6/20/2017,70.1,75.55,10.55,6.16,,8.17,0.81,9.02,13.83,0,0.26,,149,Moderate
Jaipur,6/21/2017,67.5,93.8,10.29,2.98,,5.1,0.71,9.26,38.19,0,0.33,,126,Moderate
Jaipur,6/22/2017,24.8,31.95,10.17,3.11,,5.04,0.74,8.89,44.67,0,0.33,,85,Satisfactory
Jaipur,6/23/2017,32.3,47.4,9.64,3.27,,3.8,0.68,8.39,39.16,0,0.17,,62,Satisfactory
Jaipur,6/24/2017,55.36,73.69,32.81,1.68,,13.26,0.77,9.33,10.76,0,0,,77,Satisfactory
Jaipur,6/25/2017,47.62,79.52,,0.01,,0.89,0.73,9.15,9.38,,,,86,Satisfactory
Jaipur,6/26/2017,61.34,100.61,,0.07,,1.19,1.01,8.55,13.56,,,,90,Satisfactory
Jaipur,6/27/2017,36.51,65.54,,,,0.63,0.82,9.33,4.17,,,,85,Satisfactory
Jaipur,6/28/2017,19.66,23.81,4.32,6.36,,0.34,0.86,8.56,1.34,0.03,0.69,,59,Satisfactory
Jaipur,6/29/2017,16.8,14.47,4.56,5.9,,,0.67,8.49,1.27,0,0.36,,50,Good
Jaipur,6/30/2017,14.37,23.25,4.52,5.7,,,0.57,8.89,1.21,0,0.18,,43,Good
Jaipur,7/1/2017,25.14,26.17,4.69,6.02,,1.12,0.89,9.53,1.35,0.04,0.46,,55,Satisfactory
Jaipur,7/2/2017,28.74,33.12,4.67,5.99,,1.12,1.02,9.35,1.2,0.1,0.78,,80,Satisfactory
Jaipur,7/3/2017,39.4,51.67,9.59,3.67,,28.45,0.86,10.11,1.17,0,0.34,,58,Satisfactory
Jaipur,7/4/2017,52.82,76.36,6,6.86,,16.31,0.8,8.95,1.21,0,0.21,,78,Satisfactory
Jaipur,7/5/2017,56.88,91.07,0.98,10.75,,6.45,0.74,9.28,1.27,0,0.19,,94,Satisfactory
Jaipur,7/6/2017,68.1,101.47,0.99,10.53,,6.36,0.56,9.37,1.17,0,0.13,,107,Moderate
Jaipur,7/7/2017,60.61,80.86,1.71,10.05,,6.59,0.64,9.14,1.22,0,0.1,,118,Moderate
Jaipur,7/8/2017,54.57,1.02,2.1,9.68,,6.53,0.67,9.27,1.34,0,0.26,,96,Satisfactory
Jaipur,7/9/2017,46.43,,1.48,10.14,,5.6,0.64,9.35,1.7,0,0.11,,85,Satisfactory
Jaipur,7/10/2017,44.47,,1.36,10.29,,5.34,0.68,9.74,1.83,,,,75,Satisfactory
Jaipur,7/11/2017,81.08,120.51,0.44,11.14,,4.73,1.8,9.74,2.18,,,,108,Moderate
Jaipur,7/12/2017,41.86,0.42,,,,,1.46,9.54,1.54,,,,134,Moderate
Jaipur,7/13/2017,33.25,34.01,6.66,10.95,,1.49,0.74,9.56,1.35,0,0,,61,Satisfactory
Jaipur,7/14/2017,30.59,41.65,6.77,11.36,,1.01,0.72,8.52,1.23,,,,53,Satisfactory
Jaipur,7/15/2017,45.02,64.8,9.85,15.55,,3.02,0.8,9.44,1.85,0,0,,67,Satisfactory
Jaipur,7/16/2017,44.54,83.5,13.17,21.27,,5.03,0.79,8.79,1.93,,,,81,Satisfactory
Jaipur,7/17/2017,33.83,76.56,13.4,21.08,,5.31,0.77,9.18,1.47,0,0.64,,83,Satisfactory
Jaipur,7/18/2017,33.98,84.18,13.91,20.67,,5.62,0.7,6.02,1.2,4.84,5.2,,75,Satisfactory
Jaipur,7/19/2017,15.55,52.25,13.21,21.12,,5.08,0.42,18.02,1.52,0,0.47,,,
Jaipur,7/20/2017,30.57,89.06,13.15,15.02,,5.81,0.42,4.2,1.11,0.52,0.79,,82,Satisfactory
Jaipur,7/21/2017,28.19,73.55,10.58,20.46,,25.69,0.41,5.53,27.07,2.09,2.55,,86,Satisfactory
Jaipur,7/22/2017,18.78,55.4,6.13,23.7,,17.67,0.17,5.45,27.04,0,0.06,,66,Satisfactory
Jaipur,7/23/2017,14.6,70.7,6.9,24.55,,18.76,0.1,7.36,29.35,0,0.44,,,
Jaipur,7/24/2017,11.5,58.7,3.73,25.02,,17.37,0.1,7.57,29,0,0,,,
Jaipur,7/25/2017,21.49,86.2,10.48,24.6,,20.4,0.39,6.8,24.2,0,0.92,,,
Jaipur,7/26/2017,28.82,89.59,7.78,24.67,,19.2,0.22,4.77,27.41,0,0.28,,89,Satisfactory
Jaipur,7/27/2017,26.78,80.29,9.45,24.5,,19.91,0.34,5.6,39.14,0,0.56,,86,Satisfactory
Jaipur,7/28/2017,33.62,93.94,7.41,24.74,,18.94,0.17,5.61,37.46,0,0.17,,88,Satisfactory
Jaipur,7/29/2017,,,,,,,,,,,,,95,Satisfactory
Jaipur,7/30/2017,,,,,,,,,,,,,,
Jaipur,7/31/2017,35.46,95.5,18.28,24.24,,23.69,0.47,4.33,11.31,0,0.74,,,
