City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Jorapokhar,4/20/2017,,119.49,7.75,9.26,,,0.32,28.43,18.88,,,,,
Jorapokhar,4/21/2017,,170.61,8,10.2,,,0.27,29.35,15.85,,,,148,Moderate
Jorapokhar,4/22/2017,,124.64,7.92,9.45,,,0.29,33.34,17.76,,,,135,Moderate
Jorapokhar,4/23/2017,,107.36,7.74,9.39,,,0.31,34.1,21.71,,,,107,Moderate
Jorapokhar,4/24/2017,,178.28,7.49,10.72,,,0.33,38.16,17.94,,,,124,Moderate
Jorapokhar,4/25/2017,,178.55,7.95,11.07,,,0.39,13.11,21.16,,,,156,Moderate
Jorapokhar,4/26/2017,,312.48,8.22,12.64,,,0.31,52.54,24.6,,,,211,Poor
Jorapokhar,4/27/2017,,261.1,8.02,11.34,,,0.32,70.8,24.12,,,,247,Poor
Jorapokhar,4/28/2017,,151.89,7.84,10.4,,,0.28,25.56,17.64,,,,161,Moderate
Jorapokhar,4/29/2017,,188.39,7.97,10.42,,,0.28,57.19,20.48,,,,157,Moderate
Jorapokhar,4/30/2017,,99.66,8.04,8.75,,,0.29,16.33,15.45,,,,120,Moderate
Jorapokhar,5/1/2017,,89.09,8.06,7.8,,,0.33,20,12.01,,,,101,Moderate
Jorapokhar,5/2/2017,,105.54,7.86,10.29,,,0.59,46.35,31.84,,,,,
Jorapokhar,5/3/2017,,87.13,7.57,8.8,,,0.31,23.9,19.92,,,,91,Satisfactory
Jorapokhar,5/4/2017,,121.63,7.67,8.69,,,0.3,38.21,19.84,,,,96,Satisfactory
Jorapokhar,5/5/2017,,124.83,7.72,9.04,,,0.32,,22.1,,,,121,Moderate
Jorapokhar,5/6/2017,,169.22,7.8,9.45,,,0.36,,29.21,,,,137,Moderate
Jorapokhar,5/7/2017,,107.19,7.9,9.27,,,0.3,,33.89,,,,120,Moderate
Jorapokhar,5/8/2017,,103.55,7.98,9.76,,,0.36,5.62,14.69,,,,103,Moderate
Jorapokhar,5/9/2017,,135.11,7.78,9.24,,,0.29,36.97,,,,,113,Moderate
Jorapokhar,5/10/2017,,156.37,7.78,9.59,,,0.31,59.05,33.75,,,,130,Moderate
Jorapokhar,5/11/2017,,128.4,7.94,9.01,,,0.31,12.28,16.65,,,,136,Moderate
Jorapokhar,5/12/2017,,87.52,7.73,9.37,,,0.33,26.48,18.44,,,,100,Satisfactory
Jorapokhar,5/13/2017,,205.38,7.71,9.77,,,0.3,42.19,19.6,,,,139,Moderate
Jorapokhar,5/14/2017,,194.08,7.67,10.02,,,0.43,28.22,28.14,,,,176,Moderate
Jorapokhar,5/15/2017,,149.04,7.91,9.49,,,0.33,25.57,50.33,,,,152,Moderate
Jorapokhar,5/16/2017,,92.3,7.53,8.47,,,0.27,22.19,50.94,,,,114,Moderate
Jorapokhar,5/17/2017,,120.26,7.74,9.47,,,0.3,18.81,17.59,,,,110,Moderate
Jorapokhar,5/18/2017,,115.24,7.91,9.56,,,0.4,43.43,48.65,,,,112,Moderate
Jorapokhar,5/19/2017,,111.91,7.98,9.82,,,0.39,21.08,36.24,,,,106,Moderate
Jorapokhar,5/20/2017,,94.15,7.57,8.57,,,0.3,59.65,29.28,,,,100,Satisfactory
Jorapokhar,5/21/2017,,130.72,7.82,8.66,,,0.29,52.08,37.25,,,,105,Moderate
Jorapokhar,5/22/2017,,154.29,7.47,8.47,,,0.36,36.18,28.23,,,,130,Moderate
Jorapokhar,5/23/2017,,149.02,7.94,9.68,,,0.44,65.81,34.31,,,,131,Moderate
Jorapokhar,5/24/2017,,195.18,7.83,10.22,,,0.38,23.99,15.75,,,,149,Moderate
Jorapokhar,5/25/2017,,136.9,7.94,9.84,,,0.31,48.14,10.3,,,,146,Moderate
Jorapokhar,5/26/2017,,98.77,8.15,9.9,,,0.28,31.56,6.42,,,,117,Moderate
Jorapokhar,5/27/2017,,83.56,8.12,10.32,,,0.42,39.88,10.19,,,,93,Satisfactory
Jorapokhar,5/28/2017,,78.74,7.94,8.95,,,0.3,30.16,5.72,,,,94,Satisfactory
Jorapokhar,5/29/2017,,109.26,8.07,10.44,,,0.43,38.3,12.95,,,,84,Satisfactory
Jorapokhar,5/30/2017,,116.99,8.09,9.25,,,0.43,38.71,11.59,,,,110,Moderate
Jorapokhar,5/31/2017,,129.23,8.17,10.45,,,0.42,47.44,7.08,,,,116,Moderate
Jorapokhar,6/1/2017,,101.19,7.94,9.28,,,0.39,26.29,16.13,,,,109,Moderate
Jorapokhar,6/2/2017,,167.86,7.77,9.85,,,0.36,46.82,11.6,,,,119,Moderate
Jorapokhar,6/3/2017,,197.14,8.02,10.65,,,0.34,28.47,16.98,,,,155,Moderate
Jorapokhar,6/4/2017,,175.7,8.12,8.73,,,0.38,42.62,22.45,,,,160,Moderate
Jorapokhar,6/5/2017,,130.9,8.06,9.7,,,0.34,34.66,10.02,,,,133,Moderate
Jorapokhar,6/6/2017,,119.44,8.1,9.2,,,0.35,24.31,12.56,,,,126,Moderate
Jorapokhar,6/7/2017,,177.78,7.76,8.99,,,0.4,41.41,10.77,,,,123,Moderate
Jorapokhar,6/8/2017,,154.1,7.96,9.89,,,0.4,41.89,6.7,,,,147,Moderate
Jorapokhar,6/9/2017,,105.49,7.77,9.02,,,0.4,20.14,5.77,,,,125,Moderate
Jorapokhar,6/10/2017,,97.97,7.88,10.04,,,0.34,53.68,12.18,,,,100,Satisfactory
Jorapokhar,6/11/2017,,107.84,7.95,9.78,,,0.36,39.08,5.27,,,,104,Moderate
Jorapokhar,6/12/2017,,84.11,7.67,8.96,,,0.38,,13.51,,,,98,Satisfactory
Jorapokhar,6/13/2017,,138.42,7.91,9.26,,,0.29,,17.73,,,,100,Satisfactory
Jorapokhar,6/14/2017,,186.63,8.15,9.83,,,0.43,52.3,21.69,,,,149,Moderate
Jorapokhar,6/15/2017,,81.65,6.87,9.53,,,0.34,23.99,10.24,,,,124,Moderate
Jorapokhar,6/16/2017,,122.54,21.64,13.85,,,0.3,15.99,9,,,,101,Moderate
Jorapokhar,6/17/2017,,107.21,7.97,10.3,,,0.42,34.81,24.8,,,,104,Moderate
Jorapokhar,6/18/2017,,161.58,7.68,9.53,,,0.28,16.38,26.71,,,,153,Moderate
Jorapokhar,6/19/2017,,110.27,7.77,9.79,,,0.31,25.25,14.85,,,,124,Moderate
Jorapokhar,6/20/2017,,51.38,7.88,9.75,,,0.31,16.46,10.08,,,,82,Satisfactory
Jorapokhar,6/21/2017,,63.41,8.13,9.33,,,0.32,11.59,11.76,,,,53,Satisfactory
Jorapokhar,6/22/2017,,99.72,,,,,0.31,20.21,8.33,,,,71,Satisfactory
Jorapokhar,6/23/2017,,155.17,,,,,,19.29,10.18,,,,135,Moderate
Jorapokhar,6/24/2017,,184.27,,,,,,18.46,8.07,,,,119,Moderate
Jorapokhar,6/25/2017,,,,,,,,20.34,3.81,,,,,
Jorapokhar,6/26/2017,,,,,,,,33.22,2.41,,,,,
Jorapokhar,6/27/2017,,,,,,,,50.28,2.02,,,,,
Jorapokhar,6/28/2017,,,,,,,,,,,,,,
Jorapokhar,6/29/2017,,189.13,,,,,0.19,2.98,35.52,,,,,
Jorapokhar,6/30/2017,,92,6.04,6.97,,,0.15,45.15,9.01,,,,,
Jorapokhar,7/1/2017,,,,,,,0,,,,,,,
Jorapokhar,7/2/2017,,,,,,,0,,,,,,,
Jorapokhar,7/3/2017,,71.43,9.28,15.51,,,0.13,19.36,10.32,,,,,
Jorapokhar,7/4/2017,,16.39,12.53,17.16,,,0.03,75.55,3.54,,,,,
Jorapokhar,7/5/2017,,20.45,7.36,12.39,,,0.05,6.15,7.86,,,,,
Jorapokhar,7/6/2017,,,,,,,0,,,,,,,
Jorapokhar,7/7/2017,,69.48,8.29,13.31,,,0.15,11.76,4.38,,,,,
Jorapokhar,7/8/2017,,,,,,,0,,,,,,,
Jorapokhar,7/9/2017,,37.55,7.41,12.39,,,0,,1.01,,,,,
Jorapokhar,7/10/2017,,49.74,8.62,14.43,,,0.05,9.98,5.47,,,,,
Jorapokhar,7/11/2017,,76.65,8.78,22.16,,,0.03,20.04,2.48,,,,,
Jorapokhar,7/12/2017,,83.4,8.34,17.66,,,0.07,15.22,2.75,,,,,
Jorapokhar,7/13/2017,,,,,,,,,,,,,,
Jorapokhar,7/14/2017,,,,,,,,,,,,,,
Jorapokhar,7/15/2017,,,,,,,,,,,,,,
Jorapokhar,7/16/2017,,,,,,,,,,,,,,
