City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Kochi,1/22/2020,46.54,113.87,21.86,84.84,99.99,27.89,1.25,7.01,19.69,,0,,,
Kochi,1/23/2020,62.48,110.34,22.08,55.67,73.57,25.35,1.33,6.48,9.54,,0,,110,Moderate
Kochi,1/24/2020,62.87,114.86,37.44,60.49,97.8,25.6,1.44,6.91,9.06,,0,,111,Moderate
Kochi,1/25/2020,61.76,113.7,92.78,67.73,160.51,22.11,1.34,6.68,11.29,,0,,144,Moderate
Kochi,1/26/2020,66.76,113.24,106.79,58.69,165.49,20.7,1.36,6.75,11.43,,0.05,,197,Moderate
Kochi,1/27/2020,67.99,114.06,100.13,57.16,157.29,19.87,1.31,6.21,10.63,,0,,179,Moderate
Kochi,1/28/2020,68.04,119.42,85.93,56.04,141.97,20.26,1.38,6.06,9.78,,0.05,,167,Moderate
Kochi,1/29/2020,71.79,119.6,73.72,59.63,133.35,21.6,1.4,4.93,14.14,,0,,159,Moderate
Kochi,1/30/2020,52.43,99.98,92.06,54.21,146.26,19.78,1.36,9.03,11.96,,0,,153,Moderate
Kochi,1/31/2020,46.71,109.08,106.14,53.77,159.91,19.59,1.32,20.29,14.61,,0,,185,Moderate
Kochi,2/1/2020,43.87,95.77,46.26,63.37,108.53,22.65,1.13,20.31,15.89,,0,,151,Moderate
Kochi,2/2/2020,43.18,83.08,16.12,53.51,64.08,22.68,0.96,21.4,15.05,,0,,104,Moderate
Kochi,2/3/2020,53.08,97.71,31.15,43.92,77.16,13.66,1.08,20.68,14.28,,0,,91,Satisfactory
Kochi,2/4/2020,61.09,107.42,33.28,26.5,74.86,2.34,1.33,20.68,15.24,,0,,106,Moderate
Kochi,2/5/2020,63.96,108.51,42.85,19.25,59.33,7.67,1.36,13.97,8.47,,0.01,,108,Moderate
Kochi,2/6/2020,45.35,96.72,84.08,33.31,76.55,10.04,1.2,13.44,8.84,,0,,95,Satisfactory
Kochi,2/7/2020,53.29,108.96,84.56,14.51,74.31,2.91,1.24,20.96,4.8,,0,,104,Moderate
Kochi,2/8/2020,49.9,140.63,75.65,14.2,66.72,2.72,1.18,20.81,8.81,,0,,118,Moderate
Kochi,2/9/2020,43.48,111.94,62.61,11.28,55.44,2.51,1.04,21.71,12.56,,0,,119,Moderate
Kochi,2/10/2020,46.11,123.94,66.59,18.02,60.21,2.82,1.07,19.31,11.61,,0,,109,Moderate
Kochi,2/11/2020,46.9,122.94,64.46,17.39,56.66,2.64,1.13,23.75,12.32,,0,,114,Moderate
Kochi,2/12/2020,56.29,136.05,68,18.4,63.96,2.94,1.28,23.29,12.4,,0,,127,Moderate
Kochi,2/13/2020,60.32,136.7,61.07,20.46,57.2,2.23,1.3,21.96,12.78,,0,,122,Moderate
Kochi,2/14/2020,59.82,140.51,56.48,17.74,50.77,1.52,1.31,20.98,9.54,,0,,123,Moderate
Kochi,2/15/2020,64.43,140.64,67,10.62,56.76,2.11,1.36,20.63,3.79,,0,,130,Moderate
Kochi,2/16/2020,51.19,115.31,68.55,6.08,53.11,2.8,1.15,20.7,2.56,,0,,117,Moderate
Kochi,2/17/2020,62.65,134.46,63.33,37,61.56,3.37,1.31,20.91,10.61,,0,,115,Moderate
Kochi,2/18/2020,67.72,131.39,50.98,26.49,50.72,2.26,1.44,21.77,15.38,,0,,129,Moderate
Kochi,2/19/2020,143.85,201.76,48.81,26.94,52.08,2.88,1.57,23.25,15.5,,0,,277,Poor
Kochi,2/20/2020,66.64,120.58,48.52,22.23,47.8,1.39,1.44,22.34,16.68,,0,,191,Moderate
Kochi,2/21/2020,69.07,121.04,48.28,19.33,48.61,1.34,1.48,21.13,14.07,,0,,135,Moderate
Kochi,2/22/2020,49.41,99.69,57.02,22.44,56.52,3.96,1.44,20.98,13.13,,0,,108,Moderate
Kochi,2/23/2020,48.39,85.13,43.2,18.53,39.28,2.01,1.26,21,14.62,,0,,90,Satisfactory
Kochi,2/24/2020,58.24,109.65,32.9,22.26,34.51,2.43,1.46,21.84,13.98,,0,,96,Satisfactory
Kochi,2/25/2020,50.07,95.35,27.17,16.15,25.03,2.26,1.48,22.41,12.16,,0,,101,Moderate
Kochi,2/26/2020,71.43,113.52,33.65,14.08,26.33,2.6,1.51,22.03,8.88,,0,,113,Moderate
Kochi,2/27/2020,56.51,100.73,82.41,13.47,68.71,3.49,1.41,21.85,5.65,,0,,110,Moderate
Kochi,2/28/2020,54.02,97.41,84.9,14.11,70.87,3.57,1.54,21.01,4.43,,0,,102,Moderate
Kochi,2/29/2020,47,158.39,50.47,13.83,43.96,1.8,1.43,20.17,9.3,,0,,106,Moderate
Kochi,3/1/2020,47.81,128.53,42.32,8.2,34.22,2.29,1.34,14.79,8.79,,0,,136,Moderate
Kochi,3/2/2020,41.58,102.17,66.61,5.81,50.79,2.74,1.32,17.99,2.67,,0,,110,Moderate
Kochi,3/3/2020,38.21,97.42,98.1,0.61,74.98,2.69,1.42,17.33,1.58,,0,,98,Satisfactory
