City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Kolkata,4/10/2018,34.38,57,,40.97,,2.52,1,25.46,,,,,,
Kolkata,4/11/2018,29,50.87,3.26,34.03,45.29,3.59,0.98,10.32,30.99,4.64,0.88,,73,Satisfactory
Kolkata,4/12/2018,21.7,43.04,3.49,39.49,42.54,3.77,0.73,,43.72,5.33,1.76,,60,Satisfactory
Kolkata,4/13/2018,23.09,46.49,3.69,33.03,36.72,3.88,0.98,,41.65,6.78,2.23,,74,Satisfactory
Kolkata,4/14/2018,21.56,42.1,2.81,26.62,29.43,4.22,1,,44.07,5.09,2.33,,83,Satisfactory
Kolkata,4/15/2018,30.28,54.89,2.49,43.03,45.52,2.87,0.81,,63.88,7.12,2.6,,95,Satisfactory
Kolkata,4/16/2018,26.72,51.27,2.63,28.94,31.56,3.7,1.11,,49.57,5.18,1.71,,88,Satisfactory
Kolkata,4/17/2018,24.37,40.66,6.12,32.93,39.05,2.12,1.15,,36.86,4.92,1.06,,69,Satisfactory
Kolkata,4/18/2018,,,3.74,31.44,35.18,24.86,1.09,,31.63,5.16,0.75,,,
Kolkata,4/19/2018,,,4.11,29.44,33.55,15.31,1.17,,26.67,5.52,1.12,,,
Kolkata,4/20/2018,,,4.32,25.24,29.56,12.04,1.16,,26.16,4.8,0.65,,,
Kolkata,4/21/2018,,,3.3,26.3,29.59,9.56,1.13,,26.17,4.3,0.5,,,
Kolkata,4/22/2018,,,3.03,29.27,32.3,9.59,1.09,,27.77,5.19,0.96,,,
Kolkata,4/23/2018,,,3.17,34.2,37.37,10.51,1.11,,30.89,7.06,1.38,,,
Kolkata,4/24/2018,,,11.32,52.42,63.74,14.19,1.01,,46.25,8.43,2.02,,,
Kolkata,4/25/2018,,,2.6,26.61,29.2,12.62,0.74,,41.77,4.83,0.71,,,
Kolkata,4/26/2018,,,3.05,24.11,27.16,12.12,0,,,2.85,0,,,
Kolkata,4/27/2018,,,3.26,45.2,48.46,11.46,0,,,4.63,0.04,,,
Kolkata,4/28/2018,,,3.34,51.58,54.91,13.83,0,,,5.59,0.08,,,
Kolkata,4/29/2018,,,2.75,21.8,24.55,12.3,0,,,1.66,0,,,
Kolkata,4/30/2018,,,2.89,26.65,29.54,11.43,0,,,22.49,9.25,,,
Kolkata,5/1/2018,,,2.63,32.56,35.18,13.59,0,,,2.15,4.44,,,
Kolkata,5/2/2018,,,2.38,32.6,34.97,12.08,0,,,1.58,3.95,,,
Kolkata,5/3/2018,,,2.49,34.32,36.8,11.45,0,,,1.48,3.58,,,
Kolkata,5/4/2018,,,2.54,29.82,32.36,10.7,0,,,1.16,3.34,,,
Kolkata,5/5/2018,,,2.91,22.13,24.95,8.76,0,,,0.82,3.08,,,
Kolkata,5/6/2018,,,3.01,17.74,20.75,8.88,0,,,0.6,2.53,,,
Kolkata,5/7/2018,,,3.97,25.31,29.28,7.52,0,,,1.22,2.97,,,
Kolkata,5/8/2018,,,3.82,28.31,32.13,6.72,0,,,1.49,3.41,,,
Kolkata,5/9/2018,,,3.45,24.03,27.48,7.18,0,,,1.18,2.96,,,
Kolkata,5/10/2018,,,3.36,30.86,34.21,7.13,0,,,1.72,3.9,,,
Kolkata,5/11/2018,,,3.07,27.36,30.43,12.93,0,,,1.58,3.48,,,
