City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Lucknow,1/1/2015,,,2.11,13.46,4.57,,12.15,169.57,25.92,1.35,3.93,,,
Lucknow,1/2/2015,,,2.37,10.76,3.8,,14,169.46,21.66,1.97,5.74,,,
Lucknow,1/3/2015,,,2.27,12.43,4.22,,12.78,169.77,22.4,1.83,4.76,,,
Lucknow,1/4/2015,,,2.24,12.46,4.22,,11.85,169.56,21.41,2.27,4.77,,,
Lucknow,1/5/2015,,,2.32,12.27,4.22,,13.34,169.48,20.6,2.49,4.78,,,
Lucknow,1/6/2015,,,2.33,12.91,4.3,,14.21,178.63,21.49,2.93,4.6,,,
Lucknow,1/7/2015,,,2.68,17.12,4.64,,11.24,169,23.67,2.92,3.82,,,
Lucknow,1/8/2015,,,4.19,24.45,3.97,,12.68,169,19.69,3.01,5.38,,,
Lucknow,1/9/2015,,,4.27,24.74,3.13,,13.99,182.39,21.73,2.52,4.78,,,
Lucknow,1/10/2015,,,4.02,20.67,4.05,,14.06,174.58,27.36,2.55,4.98,,,
Lucknow,1/11/2015,,,3.53,18.77,4.22,,15.69,178.93,27.51,2.49,4.78,,,
Lucknow,1/12/2015,,,3.09,17.52,4.22,,16.47,176.44,26.69,2.52,4.78,,,
Lucknow,1/13/2015,,,3.39,15.84,5.15,,11.81,187.02,30.22,2.18,2.62,,,
Lucknow,1/14/2015,,,2.89,15.26,4.7,,12.86,42.93,34.77,2.19,4.77,,,
Lucknow,1/15/2015,,,2.44,8.73,5.06,,11.83,,36.26,1.63,2.79,,,
Lucknow,1/16/2015,,,1.78,8.72,3.47,,12.02,,47.81,2.33,5.74,,,
Lucknow,1/17/2015,,,2.15,5.4,4.3,,10.27,87.87,34.72,2.02,4.54,,,
Lucknow,1/18/2015,,,1.99,4.89,4.72,,9.54,,26.07,1.92,4.17,,,
Lucknow,1/19/2015,,,3.38,8.14,4.22,,13.28,,31.2,2.15,4.76,,,
Lucknow,1/20/2015,,,4.07,11.63,4.22,,14.09,,33.76,2.14,4.57,,,
Lucknow,1/21/2015,,,16.81,19.67,4.22,,13.49,,25.41,2.77,3.87,,,
Lucknow,1/22/2015,,,13.04,17.07,3.72,,8.3,141.76,34.07,2.71,4.72,,,
Lucknow,1/23/2015,,,5.72,15.33,3.3,,8.56,,49.69,2.71,5.35,,,
Lucknow,1/24/2015,,,4.61,12.79,3.8,,6.83,,45.87,2.47,4.42,,,
Lucknow,1/25/2015,,,3.78,10.64,3.05,,12.66,,58.79,2.79,5.73,,,
Lucknow,1/26/2015,,,6.83,13.62,4.05,,9.29,,33.98,2.52,4,,,
Lucknow,1/27/2015,,,6.68,20.12,3.61,,9.94,,31.3,2.68,4.86,,,
Lucknow,1/28/2015,,,3.06,28.51,3.13,,7.78,,47.82,2.83,5.75,,,
Lucknow,1/29/2015,,,2.42,21.54,2.21,,12.85,,56.81,3.14,7.29,,,
Lucknow,1/30/2015,,,2.36,16.56,2.21,,14.92,,57.77,3.1,7.21,,,
Lucknow,1/31/2015,,,6.4,18.36,3.96,,11.48,,43.57,2.65,4.17,,,
Lucknow,2/1/2015,,,7.43,20.19,4.3,,13.58,70.12,33.27,2.55,3.59,,,
Lucknow,2/2/2015,,,3.08,18.3,3.13,,15.41,,46.3,2.78,5.61,,,
Lucknow,2/3/2015,,,3.71,14.16,4.14,,15.62,,35.58,2.36,3.79,,,
Lucknow,2/4/2015,,,4.32,13.12,3.13,,13.67,,33.45,2.79,5.57,,,
Lucknow,2/5/2015,,,3.55,14.52,4.47,,11.85,,29.48,2.41,3.08,,,
Lucknow,2/6/2015,,,3.22,19.2,4.04,,11.35,,48.74,2.53,4.04,,,
Lucknow,2/7/2015,,,10.55,31.35,5.15,,13.95,,35.46,2.92,4.02,,,
Lucknow,2/8/2015,,,7.23,33.06,4.22,,14.63,,27.08,2.67,3.87,,,
Lucknow,2/9/2015,,,5.69,33.45,4.22,,17.17,,34.11,2.55,3.87,,,
Lucknow,2/10/2015,,,4.28,17.01,4.22,,11.44,132.63,39.29,2.47,3.77,,,
Lucknow,2/11/2015,,,6.41,28.63,4.22,,16.55,179.18,42.61,2.62,3.82,,,
Lucknow,2/12/2015,,,6.18,33.18,4.14,,14.85,103.59,41.16,2.65,4.01,,,
Lucknow,2/13/2015,,,3.63,16.65,6.06,,7.77,180.85,39.1,2.1,2.59,,,
Lucknow,2/14/2015,,,6.27,35.7,4.46,,17.62,,29.49,2.67,3.88,,,
Lucknow,2/15/2015,,,3.3,21.52,4.05,,14.7,159.23,43.28,2.45,4.03,,,
Lucknow,2/16/2015,,,4.27,26.65,4.22,,16,106.44,32.19,2.51,3.78,,,
Lucknow,2/17/2015,,,4.05,25.15,4.22,,12.28,,27.74,2.47,3.76,,,
Lucknow,2/18/2015,,,4.38,28.35,4.22,,11.87,58.62,30.65,2.56,3.8,,,
Lucknow,2/19/2015,,,4.5,29.61,4.47,,16.37,113.63,25.96,2.65,3.37,,,
Lucknow,2/20/2015,,,4.33,18.41,5.14,,5.26,,16.19,2.38,2.08,,,
Lucknow,2/21/2015,,,4.61,26.09,3.61,,12.09,,27.47,2.88,4.87,,,
Lucknow,2/22/2015,,,4.26,20.97,4.22,,11.84,,28.7,2.65,3.73,,,
Lucknow,2/23/2015,,,5.42,27.46,4.22,,16.84,,23.22,2.89,3.8,,,
Lucknow,2/24/2015,,,6.31,28.73,4.22,,12.48,,22.18,2.84,3.83,,,
Lucknow,2/25/2015,,,6.59,18.02,4.72,,13.42,,18.1,2.72,2.81,,,
Lucknow,2/26/2015,,,4.59,10.35,6.24,,6.12,,11.27,1.79,0.07,,,
Lucknow,2/27/2015,,,7.11,11.42,6.24,,17.65,,11.22,2.22,0.09,,,
Lucknow,2/28/2015,,,7.26,13.83,5.4,,11.21,,15.43,2.24,1.69,,,
Lucknow,3/1/2015,,,7.85,16.82,4.39,,10.28,124.96,15.09,2.25,3.25,,,
Lucknow,3/2/2015,,,11.15,27.26,6.16,,12.16,,10.79,1.62,0.35,,,
Lucknow,3/3/2015,,,9.09,21.85,4.81,,9.62,,16.56,2.12,2.69,,,
Lucknow,3/4/2015,,,8.02,12.38,3.55,,10.53,,24.78,2.63,4.79,,,
Lucknow,3/5/2015,,,10.04,20.08,4.37,,11.83,,27.25,2.47,3.6,,,
Lucknow,3/6/2015,,,9.78,19.54,4.99,,11.58,,28.29,2.29,3.01,,,
Lucknow,3/7/2015,,,13.33,21.08,4.22,,11.55,,26.71,2.61,3.61,,,
Lucknow,3/8/2015,,,10.8,19.58,4.39,,12.21,167.19,22.09,2.48,3.6,,,
Lucknow,3/9/2015,,,8.47,19.51,4.22,,14.47,,27.1,2.43,3.66,,,
Lucknow,3/10/2015,,,7.67,22.78,4.22,,8.9,20.83,31.41,2.46,3.71,,,
Lucknow,3/11/2015,,,7.81,24.66,4.22,,10.51,11.61,34.98,2.5,3.74,,,
Lucknow,3/12/2015,,,8.63,25.05,4.39,,8.6,11.68,30.95,2.48,3.41,,,
Lucknow,3/13/2015,,,11.1,26.42,5.31,,2.31,14.02,20.87,2.14,1.69,,,
Lucknow,3/14/2015,,,8.81,24.89,4.64,,1.99,13.47,24.91,2.32,2.97,,,
Lucknow,3/15/2015,,,7.44,18.44,4.3,,2.13,9.43,13.24,2.33,3.48,,,
Lucknow,3/16/2015,,,14.42,28.15,5.06,,2.12,9.6,18.75,2.4,2.38,,,
Lucknow,3/17/2015,,,12.59,28.12,5.23,,2.23,11.79,14.84,2.21,1.92,,,
Lucknow,3/18/2015,,,7.23,21.83,4.3,,2.24,9.74,46.65,2.36,3.55,,,
Lucknow,3/19/2015,,,7.34,22.57,4.22,,2.26,10.15,64.24,2.44,3.71,,,
Lucknow,3/20/2015,742.67,,8.14,24.78,4.22,,2.19,10.73,66.8,2.53,3.73,,,
Lucknow,3/21/2015,518.1,,8.47,25.91,4.22,,2.05,10.99,59.02,2.56,3.75,,607,Severe
Lucknow,3/22/2015,674.43,,7.26,22.05,4.22,,2.13,11.33,11.61,2.43,3.69,,707,Severe
Lucknow,3/23/2015,41.71,,8.14,23.95,4.47,,2.33,10.59,14.01,2.4,3.38,,699,Severe
Lucknow,3/24/2015,63.06,,11.18,26.69,4.3,,2.3,13.25,24.94,2.66,3.6,,108,Moderate
Lucknow,3/25/2015,50.6,,23.82,39.66,4.83,,2.29,14.75,23.06,3.15,3.08,,111,Moderate
Lucknow,3/26/2015,55.31,,18.4,33.29,4.22,,2.4,13.48,26.74,3.16,3.83,,116,Moderate
Lucknow,3/27/2015,60.99,,8.08,25.41,4.22,,2.13,11.27,26.71,2.53,3.74,,104,Moderate
Lucknow,3/28/2015,58.69,,13.96,27.05,4.22,,2.16,11.94,26.76,2.82,3.76,,114,Moderate
Lucknow,3/29/2015,56.07,,8.47,25.32,4.9,,2.24,13.86,26.77,2.55,3.74,,124,Moderate
Lucknow,3/30/2015,53.07,,5.24,18.07,6.71,,1.76,7.49,32.13,2.68,5.04,,113,Moderate
Lucknow,3/31/2015,40.51,,10.66,25.01,15.09,,2.36,11.17,18.76,1.99,1.7,,104,Moderate
Lucknow,4/1/2015,60.06,,10.92,22.11,4.77,,2.17,12.14,27.28,2.56,3.66,,124,Moderate
Lucknow,4/2/2015,59.78,,15.1,23.79,4.98,,2.66,12.63,27.54,2.8,3.67,,157,Moderate
Lucknow,4/3/2015,75.52,,11.98,27.25,5.65,,2.37,13.38,22.52,2.06,1.82,,122,Moderate
Lucknow,4/4/2015,41.71,,8.84,22.35,4.3,,1.99,12.6,25.81,2.35,3.48,,144,Moderate
Lucknow,4/5/2015,50.51,,9.11,23.39,4.22,,1.97,10.93,26.59,2.44,3.69,,123,Moderate
Lucknow,4/6/2015,37.74,,10.77,27.38,4.64,,2.15,10.73,23.46,2.38,2.95,,114,Moderate
Lucknow,4/7/2015,49.06,,16.02,31.87,4.47,,2.17,12.01,24.7,2.79,3.29,,120,Moderate
Lucknow,4/8/2015,36.35,,10.65,28.02,4.64,,2.36,14.49,26.18,2.54,3.53,,117,Moderate
Lucknow,4/9/2015,37.09,,6.94,22.89,4.14,,2.23,10.67,26.64,2.46,3.69,,104,Moderate
Lucknow,4/10/2015,48.37,,8.11,25.37,4.22,,2.21,13.69,26.09,2.56,3.72,,108,Moderate
Lucknow,4/11/2015,63.86,,10.62,31.48,4.22,,2.45,24.19,25.95,2.78,3.8,,114,Moderate
Lucknow,4/12/2015,54.17,,10.22,23.58,5.06,,2.35,11.24,20.51,2.19,2.24,,134,Moderate
Lucknow,4/13/2015,44.54,,13.87,29.51,6.16,,2.25,10.94,11.56,1.78,0.21,,103,Moderate
Lucknow,4/14/2015,45.94,,19.27,32.21,6.24,,2.26,12.54,11.41,2.06,0.08,,103,Moderate
