City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Mumbai,1/1/2015,,,,,27.38,,0,,,0,0,0,,
Mumbai,1/2/2015,,,,,26.2,,0,,,0,0,0,,
Mumbai,1/3/2015,,,,,26.04,,0,,,0,0,0,,
Mumbai,1/4/2015,,,,,25.97,,0,,,0,0,0,,
Mumbai,1/5/2015,,,,,25.18,,0,,,0,0,0,,
Mumbai,1/6/2015,,,,,26.41,,0,,,0,0,0,,
Mumbai,1/7/2015,,,,,27.08,,0,,,0,0,0,,
Mumbai,1/8/2015,,,,,27.48,,0,,,0,0,0,,
Mumbai,1/9/2015,,,,,27.22,,0,,,0,0,0,,
Mumbai,1/10/2015,,,,,28.03,,0,,,0,0,0,,
Mumbai,1/11/2015,,,,,27.57,,0,,,0,0,0,,
Mumbai,1/12/2015,,,,,28.44,,0,,,0,0,0,,
Mumbai,1/13/2015,,,,,29.15,,0,,,0,0,0,,
Mumbai,1/14/2015,,,,,28.59,,0,,,0,0,0,,
Mumbai,1/15/2015,,,,,27.83,,0,,,0,0,0,,
Mumbai,1/16/2015,,,,,27.1,,0,,,0,0,0,,
Mumbai,1/17/2015,,,,,27.21,,0,,,0,0,0,,
Mumbai,1/18/2015,,,,,27.89,,0,,,0,0,0,,
Mumbai,1/19/2015,,,,,26.78,,0,,,0,0,0,,
Mumbai,1/20/2015,,,,,25.39,,0,,,0,0,0,,
Mumbai,1/21/2015,,,,,25.04,,0,,,0,0,0,,
Mumbai,1/22/2015,,,,,24.28,,0,,,0,0,0,,
Mumbai,1/23/2015,,,,,26.51,,0,,,0,0,0,,
Mumbai,1/24/2015,,,,,26.59,,0,,,0,0,0,,
Mumbai,1/25/2015,,,,,26.27,,0,,,0,0,0,,
Mumbai,1/26/2015,,,,,26.86,,0,,,0,0,0,,
Mumbai,1/27/2015,,,,,27.26,,0,,,0,0,0,,
Mumbai,1/28/2015,,,,,26.45,,0,,,0,0,0,,
Mumbai,1/29/2015,,,,,26.3,,0,,,0,0,0,,
Mumbai,1/30/2015,,,,,25.64,,0,,,0,0,0,,
Mumbai,1/31/2015,,,,,27.34,,0,,,0,0,0,,
Mumbai,2/1/2015,,,,,27.25,,0,,,0,0,0,,
Mumbai,2/2/2015,,,,,26,,0,,,0,0,0,,
Mumbai,2/3/2015,,,,,28.16,,0,,,0,0,0,,
Mumbai,2/4/2015,,,,,29.13,,0,,,0,0,0,,
Mumbai,2/5/2015,,,,,28.98,,0,,,0,0,0,,
Mumbai,2/6/2015,,,,,28.69,,0,,,0,0,0,,
Mumbai,2/7/2015,,,,,27.46,,0,,,0,0,0,,
Mumbai,2/8/2015,,,,,26.77,,0,,,0,0,0,,
