City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Patna,6/1/2015,,,14.41,25.06,39.32,,1.56,1.8,8.89,0,0.29,0,,
Patna,6/2/2015,,,25,22.48,47.5,,2.35,9.69,9.9,0.08,0.83,0.09,,
Patna,6/3/2015,,,14.29,17.16,29.81,,1.69,20.61,12.63,0,0.33,0,,
Patna,6/4/2015,,,13.03,15.62,28.63,,1.2,4.35,9.77,0.01,0.28,0,,
Patna,6/5/2015,,,10.4,10.36,20.14,,1.29,7.22,11.9,0,0.15,0,,
Patna,6/6/2015,,,21.02,18.56,38.88,,1.44,11.02,11.24,0,0.32,0,,
Patna,6/7/2015,,,20.35,27.97,48.2,,1.42,5.36,10.63,0,0.21,0,,
Patna,6/8/2015,,,23.38,29.72,53.29,,1.33,4.53,10.81,0.02,0.36,0.06,,
Patna,6/9/2015,,,26.99,28.6,55.47,,1.7,10.42,11.39,0.01,0.33,0.01,,
Patna,6/10/2015,,,23.36,20.42,43.24,,2.28,17.55,9.75,0,0.23,0,,
Patna,6/11/2015,,,12.19,18.38,30.39,,1.08,5.69,14.71,0,0.05,0,,
Patna,6/12/2015,,,10.67,17.14,27.13,,1,5.83,12.91,0,0.07,0,,
Patna,6/13/2015,,,3.74,16.58,19.57,,0.44,1.74,23.05,0,0,0,,
Patna,6/14/2015,,,5.44,19.71,24.84,,0.59,1.56,13.25,0,0.06,0,,
Patna,6/15/2015,,,14.37,22.41,35.88,,1.38,5.3,14.47,0.01,0.15,0,,
Patna,6/16/2015,,,8.25,17.15,24.85,,1.53,2.22,11.69,0,0.01,0,,
Patna,6/17/2015,,,27.52,22.37,48.96,,1.99,17.51,26.55,0,0,0,,
Patna,6/18/2015,,,32.22,17.95,49.64,,1.71,12.88,36.26,0,0,0,,
Patna,6/19/2015,,,24.47,17.43,42.03,,1.34,5.53,8.02,,,,,
Patna,6/20/2015,,,17.33,12.65,29.82,,1.12,7.12,6.87,,,,,
Patna,6/21/2015,,,17.2,11.84,29.1,,1.13,6.31,7.35,,,,,
Patna,6/22/2015,,,30.72,12.45,42.94,,2.1,8.39,17.44,74.8,42.39,42.03,,
Patna,6/23/2015,,,33.96,11.31,45.97,,1.44,8.08,9.2,0.23,1.67,0.64,,
Patna,6/24/2015,,,35.74,20.67,56.06,,3.04,18.69,15.72,0.34,1.72,0.88,,
Patna,6/25/2015,,,7.53,9.67,16.86,,0.62,4.41,10.98,0.16,1.28,0.38,,
Patna,6/26/2015,,,15.62,16.48,32.08,,0.92,7.98,13.38,0.24,1.62,0.63,,
Patna,6/27/2015,,,34.79,18.11,52.79,,1.92,6.51,12.13,0.32,2.48,0.91,,
Patna,6/28/2015,,,13.08,14.6,26.15,,0.53,2.79,9.49,0.27,1.98,0.72,,
Patna,6/29/2015,,,30.27,22.39,51.99,,1.57,4.18,12.77,0.38,2.58,1.13,,
Patna,6/30/2015,,,17.85,21.23,38.93,,1.75,7.87,9.97,0.33,2.15,0.91,,
Patna,7/1/2015,,,11.88,14.58,25.8,,1.07,1.15,12.31,0.23,1.58,0.57,,
Patna,7/2/2015,,,7.17,14.32,21.45,,0.74,0.92,12.19,0.23,1.62,0.55,,
Patna,7/3/2015,,,13.19,14.73,27.87,,1.23,5.62,12.28,0.23,1.68,0.56,,
Patna,7/4/2015,,,14.19,15.31,29.45,,1.32,5.31,11.95,0.27,1.85,0.7,,
Patna,7/5/2015,,,11.59,10.86,24.26,,1.1,5.12,12.64,0.23,2.06,0.57,,
Patna,7/6/2015,,,26.97,16.58,46.45,,2.52,12.11,13.04,0.34,2.03,0.93,,
Patna,7/7/2015,,,21.77,12.16,34.78,,1.8,9.63,14.64,0.31,1.74,0.82,,
Patna,7/8/2015,,,21.41,10.1,31.4,,1.35,5.97,12.53,0.3,1.96,0.79,,
Patna,7/9/2015,,,24.96,10.16,35.06,,1.35,6.31,12.26,0.31,2.04,0.88,,
Patna,7/10/2015,,,22.02,7.55,30.91,,3.91,17.68,9.96,0.26,1.77,0.78,,
Patna,7/11/2015,,,14.63,8.74,23.55,,2.02,14.23,9.97,0.28,1.74,0.66,,
Patna,7/12/2015,,,15.01,6.82,21.9,,2.1,14.94,9.52,0.24,1.68,0.57,,
Patna,7/13/2015,,,16.59,19.81,34.55,,1.94,23.57,10.37,0.26,1.33,0.59,,
Patna,7/14/2015,,,27.16,19.86,45.96,,2.53,9.61,14.5,0.29,1.88,0.73,,
Patna,7/15/2015,,,8.48,18.81,27.11,,1.03,0.57,12.03,0.27,1.92,0.71,,
Patna,7/16/2015,,,42.75,22.63,64.99,,2.18,16.13,12.46,0.35,2.34,1.09,,
Patna,7/17/2015,,,24.5,13.9,38.27,,2.1,13.17,11.71,0.29,1.98,0.81,,
Patna,7/18/2015,,,14.25,14.27,28.49,,2.09,0.97,12.37,0.25,1.83,0.63,,
Patna,7/19/2015,,,13.86,11.5,25.23,,2.01,0.92,12.55,0.24,2,0.63,,
Patna,7/20/2015,,,20.77,13.13,33.85,,2.25,1.13,12.67,0.29,2.32,0.81,,
Patna,7/21/2015,,,17.62,11.94,29.48,,2.03,4.24,10.33,0.27,1.99,0.77,,
Patna,7/22/2015,,,34.66,13.51,47.99,,3.01,4.43,7.8,0.28,1.97,0.83,,
Patna,7/23/2015,,,35.96,16.57,52.36,,1.78,2.51,5.93,0.35,2.31,1.08,,
Patna,7/24/2015,,,23.98,15.2,39.1,,1.69,10.42,5.78,0.31,2.09,0.98,,
Patna,7/25/2015,,,18.94,14.1,32.97,,1.82,2.63,6.06,0.25,1.68,0.64,,
Patna,7/26/2015,,,27.59,14.97,42.43,,1.96,3.64,6.05,0.25,1.85,0.64,,
Patna,7/27/2015,,,15.92,12.07,28.02,,1.74,3.73,5.95,0.24,1.76,0.62,,
Patna,7/28/2015,,,17.32,11.93,29.17,,1.75,3.64,5.86,0.22,1.76,0.62,,
Patna,7/29/2015,,,18.18,12.34,30.52,,1.73,3.89,5.56,0.22,1.66,0.65,,
Patna,7/30/2015,,,15.62,11.77,27.36,,1.68,3.61,5.79,0.21,1.53,0.57,,
Patna,7/31/2015,,,18.86,12.39,31.2,,1.78,4.16,5.89,0.24,1.8,0.61,,
Patna,8/1/2015,,,27.52,10.31,37.82,,2,9.41,5.63,0.27,1.99,0.84,,
Patna,8/2/2015,,,22.32,12.29,34.54,,1.8,5.9,5.6,0.36,2.31,0.93,,
Patna,8/3/2015,,,23.79,30.33,54.07,,1.43,4.31,6.07,0.44,2.39,1.1,,
Patna,8/4/2015,,,14.67,9.12,23.85,,1.9,3.92,5.56,0.23,2.12,0.71,,
Patna,8/5/2015,,,7.78,13.1,23.56,,1.4,5.01,5.95,0.2,1.87,0.48,,
Patna,8/6/2015,,,35.81,23.01,58.09,,1.98,5.44,7.44,0.28,2.09,0.79,,
Patna,8/7/2015,,,22.39,13.91,36.23,,1.59,12.21,9.25,0.3,2.04,0.88,,
Patna,8/8/2015,,,21.45,9.95,31.4,,1.92,5.7,8.54,0.35,2.31,1.06,,
Patna,8/9/2015,,,7.73,3.93,10.96,,0.75,4.06,9.91,0.28,2.09,0.74,,
Patna,8/10/2015,,,31.35,24.06,55.28,,1.56,4.01,9.87,0.3,2.08,0.88,,
Patna,8/11/2015,,,22.73,18.51,41.3,,1.41,4.33,10.14,0.29,2.13,0.9,,
Patna,8/12/2015,,,24.37,18.59,42.6,,1.34,5.82,10.11,0.3,2.02,0.84,,
Patna,8/13/2015,,,19.37,15.57,34.88,,1.16,5.83,10.07,0.27,1.81,0.75,,
Patna,8/14/2015,,,17.89,16.92,34.59,,0.98,5.86,10.36,0.26,1.87,0.74,,
Patna,8/15/2015,,,17.19,15.69,32.78,,1.04,19.71,10.74,0.26,1.86,0.71,,
Patna,8/16/2015,,,22.01,18.45,40.2,,2.73,5.7,10.33,0.23,1.64,0.6,,
Patna,8/17/2015,,,15.03,14.22,27.79,,1.88,4.03,10.19,0.2,1.63,0.53,,
Patna,8/18/2015,,,13.91,12.51,26.32,,1.71,4.81,10.21,0.22,1.96,0.58,,
Patna,8/19/2015,,,10.13,10.85,20.92,,1.56,34,10.29,0.18,1.53,0.46,,
Patna,8/20/2015,,,13,12.09,24.48,,0.87,10.39,10.01,0.18,1.5,0.46,,
Patna,8/21/2015,,,31.3,17.3,48.54,,1.52,12.05,9.94,0.31,2.37,0.9,,
Patna,8/22/2015,,,25.05,16.94,41.35,,1.45,13.97,9.87,0.33,2.2,0.88,,
Patna,8/23/2015,,,24.93,15.32,39.59,,1.29,7.18,9.83,0.26,2.29,0.72,,
Patna,8/24/2015,,,29.38,19.76,49.12,,1.5,8.9,10.03,0.3,2.31,0.86,,
Patna,8/25/2015,,,18.63,15.99,34.55,,1.18,9.99,10.02,0.27,1.91,0.75,,
Patna,8/26/2015,,,27.68,19.6,47.14,,1.22,10.83,9.94,0.31,2.2,0.92,,
Patna,8/27/2015,,,33.31,16.97,50.32,,1.48,8.45,10.06,0.33,2.23,0.98,,
Patna,8/28/2015,,,31.19,17.02,48.18,,1.45,6.53,9.83,0.33,2.14,0.97,,
Patna,8/29/2015,,,22.85,16.68,39.32,,1.27,6.27,9.8,0.28,2.3,0.83,,
Patna,8/30/2015,,,14.43,15.52,29.96,,0.99,6.53,9.92,0.2,1.98,0.52,,
Patna,8/31/2015,,,11.32,12.18,23.36,,1.19,11.29,11.74,0.18,1.56,0.41,,
Patna,9/1/2015,,,9.8,12.85,22.62,,0.98,5.25,8.51,0.19,1.61,0.48,,
Patna,9/2/2015,,,8.27,10.16,17.83,,0.88,5.99,8.19,0.16,1.54,0.36,,
Patna,9/3/2015,,,12.57,15.01,27.05,,1.12,4.56,8.28,0.22,1.79,0.49,,
Patna,9/4/2015,,,9.15,13.6,22.19,,1.03,6.47,8.21,0.23,1.58,0.51,,
Patna,9/5/2015,,,9.89,14.72,24.58,,1.1,7.16,8.21,0.22,1.84,0.51,,
Patna,9/6/2015,,,7.17,11.87,18.96,,0.93,5.77,8.11,0.17,1.47,0.33,,
Patna,9/7/2015,,,13.43,14.59,27.46,,1.26,6.2,8.03,0.21,1.46,0.52,,
Patna,9/8/2015,,,10.77,9.9,20.65,,1.13,6.47,8.38,0.26,1.84,0.64,,
Patna,9/9/2015,,,5.93,6,11.63,,1.22,13.38,8.89,0.23,1.78,0.51,,
Patna,9/10/2015,,,16.47,17.68,33.98,,1.84,5.98,9.58,0.3,1.78,0.68,,
Patna,9/11/2015,,,36.6,22.02,58.43,,2.12,5.49,9.08,0.33,2.08,0.85,,
Patna,9/12/2015,,,53.09,25.69,78.25,,2.28,4.36,13.91,0.29,2.33,0.83,,
Patna,9/13/2015,,,,,,,,,,,,,,
Patna,9/14/2015,,,58.5,25.89,84.28,,1.78,5.72,11.08,0.31,2.21,0.82,,
Patna,9/15/2015,,,47.63,25.65,73.24,,1.35,6.57,9.68,0.34,2.27,0.98,,
Patna,9/16/2015,,,39.46,26.18,65.1,,1.16,5.94,10.43,0.27,1.99,0.8,,
Patna,9/17/2015,,,34.71,25.29,59.37,,1.09,5.4,10.85,0.26,1.94,0.68,,
Patna,9/18/2015,,,37.03,25.39,62.3,,1.53,8.49,9.46,0.3,1.98,0.77,,
Patna,9/19/2015,,,39.85,27.22,67,,1.53,6.12,8.08,0.28,1.94,0.73,,
Patna,9/20/2015,,,,,,,,,,,,,,
Patna,9/21/2015,,,56.42,20.91,77.1,,2.5,4.86,10.84,0.34,2.02,1.07,,
Patna,9/22/2015,,,48.25,21.46,69.54,,1.88,4.99,9.42,0.28,2.01,0.82,,
Patna,9/23/2015,,,25.87,20.81,45.75,,1.03,5.43,9.88,0.19,1.59,0.48,,
Patna,9/24/2015,,,19.81,22.92,42.57,,1.01,10.45,10,0.2,1.64,0.5,,
Patna,9/25/2015,,,17.58,21.29,38.86,,0.91,9.22,9.51,0.17,1.46,0.37,,
Patna,9/26/2015,,,53.32,18.68,72.24,,0.97,5.69,9.32,0.19,1.52,0.36,,
Patna,9/27/2015,,,30.02,20.26,50.15,,1.01,5.93,10.05,0.21,1.82,0.44,,
Patna,9/28/2015,,,32.78,23.25,55.88,,1.32,8.44,10.34,0.24,1.87,0.54,,
Patna,9/29/2015,,,48.94,26.33,74.97,,1.41,7.56,9.46,0.3,1.96,0.73,,
