City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Shillong,8/27/2019,28.43,37.88,1.27,3.56,1.39,3.66,0.35,4.99,32.93,0.31,,,,
Shillong,8/28/2019,18.42,26.65,1.28,3.5,1.33,3.64,0.29,5.15,28.46,0.22,0.72,,37,Good
Shillong,8/29/2019,18.36,26.11,1.33,3.53,1.28,3.63,0.31,5.85,33.5,0.12,0.55,,40,Good
Shillong,8/30/2019,17.45,25.16,1.31,3.49,1.27,3.65,0.34,5.97,27.85,0.09,0.17,,35,Good
Shillong,8/31/2019,16.96,25.31,1.32,3.54,1.29,3.65,0.29,5.86,22.17,0.18,0.14,,32,Good
Shillong,9/1/2019,8.89,14.37,1.31,3.52,1.3,3.63,0.23,5.76,29.69,0.1,0.73,,31,Good
Shillong,9/2/2019,914.64,985,1.32,3.61,1.36,3.63,0.23,5.56,27.96,0.14,0.99,,,
Shillong,9/3/2019,917.77,985,1.26,3.56,1.4,3.64,0.19,5.55,25.2,0.13,0.92,,,
Shillong,9/4/2019,274.92,368.06,1.28,3.63,1.44,3.66,0.28,5.14,19.11,0.26,1.42,,,
Shillong,9/5/2019,8.35,14.68,1.24,3.57,1.44,3.64,0.25,4.99,20.95,0.23,1.26,,113,Moderate
Shillong,9/6/2019,8.32,16.12,1.23,3.55,1.44,3.65,0.29,4.93,18.72,0.32,1.37,,25,Good
Shillong,9/7/2019,4.2,9.07,1.23,3.56,1.44,3.65,0.18,5,25.14,0.14,0.77,,31,Good
Shillong,9/8/2019,4.34,8.67,1.26,3.57,1.41,3.64,0.18,5.11,28.71,0.13,0.79,,33,Good
Shillong,9/9/2019,4.94,10.61,1.22,3.55,1.45,3.65,0.21,5.14,29.84,0.16,0.83,,35,Good
Shillong,9/10/2019,9.82,15.96,1.21,3.53,1.45,3.65,0.24,5.46,28.78,0.19,0.86,,35,Good
Shillong,9/11/2019,11.37,19.57,1.29,3.54,1.35,3.64,0.29,6.12,25.39,0.24,0.69,,40,Good
Shillong,9/12/2019,5.79,10.72,1.3,3.51,1.32,3.65,0.23,5.69,23.95,0.16,0.99,,30,Good
Shillong,9/13/2019,7.94,13.81,1.27,3.61,1.44,3.64,0.32,5.13,23.52,0.28,1.18,,30,Good
Shillong,9/14/2019,5.9,13.28,1.17,3.49,1.46,3.64,0.17,5.23,34.68,0.11,0.49,,38,Good
Shillong,9/15/2019,8.57,16.29,1.23,3.58,1.46,3.64,0.18,5.27,40.85,0.12,0.49,,51,Satisfactory
Shillong,9/16/2019,9.93,18.77,1.19,3.56,1.5,3.64,0.2,5.2,44.41,0.14,0.49,,60,Satisfactory
Shillong,9/17/2019,11.9,22.69,1.22,3.55,1.46,3.64,0.23,5.34,29.16,0.19,0.72,,41,Good
Shillong,9/18/2019,13.02,23.29,2.94,5.07,0.96,3.66,0.22,5.4,34.46,0.21,0.64,,42,Good
Shillong,9/19/2019,13.23,23.69,1.42,3.42,1.29,3.66,0.27,5.53,31.21,0.26,0.82,,37,Good
Shillong,9/20/2019,17.9,27.86,1.23,3.56,1.46,3.64,0.32,5.63,24.68,0.42,1.04,,32,Good
Shillong,9/21/2019,18.81,27.76,1.18,3.54,1.48,3.66,0.28,5.69,23.7,0.38,0.97,,31,Good
Shillong,9/22/2019,14.72,25.65,1.21,3.53,1.45,3.66,0.27,5.59,25.26,0.4,1.17,,31,Good
Shillong,9/23/2019,10.24,18.57,1.2,3.59,1.51,3.65,0.35,5.54,31.03,0.37,1.27,,44,Good
Shillong,9/24/2019,13.24,22.97,1.16,3.55,1.52,3.66,0.49,5.49,27.48,0.47,1.57,,43,Good
Shillong,9/25/2019,8.71,13.85,1.15,3.54,1.52,3.66,0.43,5.48,24.93,0.4,1.44,,38,Good
Shillong,9/26/2019,6.63,12.66,1.14,3.52,1.52,3.66,0.4,5.55,25.75,0.43,1.73,,40,Good
