City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Talcher,12/20/2017,,,,,,,3.6,,0.02,,,,,
Talcher,12/21/2017,,,,,,,3.41,,0.03,,,,,
Talcher,12/22/2017,,,,,,,5.15,,0.02,,,,,
Talcher,12/23/2017,,,,,,,,,,,,,,
Talcher,12/24/2017,,,,,,,,,,,,,,
Talcher,12/25/2017,,,,,,,,,,,,,,
Talcher,12/26/2017,,,,,,,,,,,,,,
Talcher,12/27/2017,,,,,,,1.68,,0.15,,,,,
Talcher,12/28/2017,,,,,,,,,,,,,,
Talcher,12/29/2017,,,,,,,,,,,,,,
Talcher,12/30/2017,,,,,,,,,,,,,,
Talcher,12/31/2017,,,,,,,,,,,,,,
Talcher,1/1/2018,,,,,,,,,,,,,,
Talcher,1/2/2018,,,,,,,,,,,,,,
Talcher,1/3/2018,,,,,,,,,,,,,,
Talcher,1/4/2018,,,,,,,,,,,,,,
Talcher,1/5/2018,,,,,,,,,,,,,,
Talcher,1/6/2018,,,,,,,,,,,,,,
Talcher,1/7/2018,,,,,,,,,,,,,,
Talcher,1/8/2018,,,,,,,,,,,,,,
Talcher,1/9/2018,,,,,,,,,,,,,,
Talcher,1/10/2018,,,,0.09,,0.02,1.36,,0.06,,,,,
Talcher,1/11/2018,,,,0.12,,0.01,1.62,,0.04,,,,,
Talcher,1/12/2018,,,,0.11,,0.02,2.34,,0.06,,,,,
Talcher,1/13/2018,,,,0.05,,0.02,2.25,,0.05,,,,,
Talcher,1/14/2018,,,,,,,,,,,,,,
Talcher,1/15/2018,,,,,,,,,,,,,,
Talcher,1/16/2018,,,,,,,,,,,,,,
Talcher,1/17/2018,,,,,,,,,,,,,,
Talcher,1/18/2018,,,,,,,,,,,,,,
Talcher,1/19/2018,,,,,,,,,,,,,,
Talcher,1/20/2018,,,,,,,,,,,,,,
Talcher,1/21/2018,,,,,,,,,,,,,,
Talcher,1/22/2018,,,,,,,,,,,,,,
Talcher,1/23/2018,,,,,,,,,,,,,,
Talcher,1/24/2018,,,,,,,,,,,,,,
Talcher,1/25/2018,,,,,,,,,,,,,,
Talcher,1/26/2018,,,,,,,,,,,,,,
Talcher,1/27/2018,,,,,,,,,,,,,,
Talcher,1/28/2018,,,,,,,,,,,,,,
Talcher,1/29/2018,,,,,,,,,,,,,,
Talcher,1/30/2018,,,,,,,,,,,,,,
Talcher,1/31/2018,,,,,,,,,,,,,,
Talcher,2/1/2018,,,,,,,,,,,,,,
Talcher,2/2/2018,,,,,,,,,,,,,,
Talcher,2/3/2018,,,,,,,,,,,,,,
Talcher,2/4/2018,,,,,,,,,,,,,,
Talcher,2/5/2018,,,,,,,,,,,,,,
Talcher,2/6/2018,,,,,,,,,,,,,,
Talcher,2/7/2018,123.61,322.43,14.45,29.29,43.73,7.3,2.46,,29.76,,,,,
Talcher,2/8/2018,135.85,341.78,26.92,27.72,54.67,6.63,2.5,,18.54,,,,311,Very Poor
Talcher,2/9/2018,172.05,381.02,48,45.34,93.33,10.19,2.62,,17.65,,,,321,Very Poor
Talcher,2/10/2018,143.05,314.95,83.26,55.96,139.18,9.55,2.56,,11.32,,,,343,Very Poor
Talcher,2/11/2018,,,,,,,,,,,,,,
Talcher,2/12/2018,117.74,264.67,19.07,27.17,46.24,9.65,1.62,38.32,28.32,0,0,,,
Talcher,2/13/2018,173.67,411.74,33.86,54.41,88.22,8.64,2.09,63.77,18.61,0,0,,343,Very Poor
Talcher,2/14/2018,73.52,209.94,12.42,17.65,29.99,10.55,0.58,51.74,14.69,0,0,,269,Poor
Talcher,2/15/2018,145.63,280.32,28.61,32.76,61.35,8.53,1.3,54.35,23.31,0,0,,243,Poor
Talcher,2/16/2018,193.1,415.79,70.66,68.73,139.34,6.54,1.77,66.46,26.16,0,0,,350,Very Poor
