City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Thiruvananthapuram,6/16/2017,38,10,2.7,7.1,6.2,,0.71,4.1,18.3,,,,,
Thiruvananthapuram,6/17/2017,,,,,,,,,,,,,,
Thiruvananthapuram,6/18/2017,,,,,,,,,,,,,,
Thiruvananthapuram,6/19/2017,24,36,0.7,5.2,3.3,,0.73,4.5,19.1,,,,,
Thiruvananthapuram,6/20/2017,,,,,,,,,,,,,,
Thiruvananthapuram,6/21/2017,24,36,0.7,5.2,3.3,,0.73,4.5,19.1,,,,,
Thiruvananthapuram,6/22/2017,16.25,37.12,2.36,7.97,6.17,,0.84,3.47,15.48,,,,,
Thiruvananthapuram,6/23/2017,15.08,31.09,1.94,5.8,4.65,,0.71,4.65,17.54,,,,47,Good
Thiruvananthapuram,6/24/2017,11.15,22.15,1.87,6.07,4.69,,0.6,4.12,16.65,,,,44,Good
Thiruvananthapuram,6/25/2017,12.25,23.53,1.88,5.22,4.29,,0.56,3.83,18.7,,,,38,Good
Thiruvananthapuram,6/26/2017,10.06,22.58,1.98,4.74,4.13,,0.47,3.73,19.53,,,,37,Good
Thiruvananthapuram,6/27/2017,13.03,21.61,1.9,6.64,5.03,,0.64,4,14.46,,,,46,Good
Thiruvananthapuram,6/28/2017,14.19,31.38,1.89,6.95,5.22,,0.64,4.59,15.22,,,,45,Good
Thiruvananthapuram,6/29/2017,15.81,38.45,1.93,5.13,4.3,,0.57,3.77,15.44,,,,48,Good
Thiruvananthapuram,6/30/2017,14.91,36.71,1.89,5.98,4.71,,0.56,3.28,16.46,,,,45,Good
Thiruvananthapuram,7/1/2017,14.69,39.71,2.05,4.08,3.84,,0.68,3.34,13.63,,,,49,Good
Thiruvananthapuram,7/2/2017,10.59,27.62,2.14,1.58,2.57,,0.57,4.14,14.29,,,,39,Good
Thiruvananthapuram,7/3/2017,10.4,22.56,2.05,3.45,3.51,,0.65,4.6,21.13,,,,39,Good
Thiruvananthapuram,7/4/2017,19.2,43.69,2.02,6.88,5.3,,0.66,3.86,19.87,,,,40,Good
Thiruvananthapuram,7/5/2017,22.43,68.32,1.88,5.41,4.38,,0.7,3.49,19.37,,,,60,Satisfactory
Thiruvananthapuram,7/6/2017,19.08,55.04,1.9,4.62,3.99,,0.59,3.18,18.33,,,,63,Satisfactory
Thiruvananthapuram,7/7/2017,18.61,49.78,1.9,5.92,4.69,,0.65,3.9,16.48,,,,52,Satisfactory
Thiruvananthapuram,7/8/2017,33.78,47.71,1.83,8.49,6,,0.75,3.98,16.13,,,,54,Satisfactory
Thiruvananthapuram,7/9/2017,14.47,31.62,1.93,5.13,4.3,,0.53,3.57,18.74,,,,53,Satisfactory
Thiruvananthapuram,7/10/2017,15.94,31.78,1.92,7.1,5.31,,0.68,4.36,17.31,,,,47,Good
