City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Visakhapatnam,7/1/2016,44.92,82.5,16.75,56.96,40.24,62.45,1,38.67,10.45,6.43,12.5,3.42,,
Visakhapatnam,7/2/2016,,,,,,,,,,,,,,
Visakhapatnam,7/3/2016,,,,,,,,,,,,,,
Visakhapatnam,7/4/2016,,,,,,,,,,,,,,
Visakhapatnam,7/5/2016,17,68,7.32,25.08,17.66,15.8,0.66,20.08,30.54,2.96,7.8,3.12,,
Visakhapatnam,7/6/2016,30.54,77.06,17.73,44.73,35,13.88,0.99,9,30.3,5.98,11.53,7.37,,
Visakhapatnam,7/7/2016,35.33,84.31,16.95,44.35,34.22,12.06,0.84,5.07,25.24,4.87,9.37,4.74,81,Satisfactory
Visakhapatnam,7/8/2016,40.64,92.73,28.48,52.89,47.01,11.91,1.07,6.57,16.24,6.46,12.2,6.81,112,Moderate
Visakhapatnam,7/9/2016,33.25,77.65,23.32,45.37,39.49,12.77,1,8.79,18.38,5.51,9.55,5.84,81,Satisfactory
Visakhapatnam,7/10/2016,26.64,69.68,11.03,36.51,26,12.82,0.88,9.97,27.98,4.12,6.82,3.48,81,Satisfactory
Visakhapatnam,7/11/2016,23.92,70.52,13.89,39.01,29.35,12.46,0.89,9.72,24.73,3.87,7.32,3.62,79,Satisfactory
Visakhapatnam,7/12/2016,28.42,84.49,11.59,42.76,29.47,13.49,1.09,8.99,27.01,5.19,7.9,4.1,79,Satisfactory
Visakhapatnam,7/13/2016,35.71,75.77,13.83,48.4,33.88,13.12,1.07,9.33,28.83,6.9,10.03,5.72,90,Satisfactory
Visakhapatnam,7/14/2016,37.09,98.23,14.05,49.9,34.78,13.3,1.09,9.28,33.36,5.24,8.33,7.04,93,Satisfactory
Visakhapatnam,7/15/2016,43.67,103.08,12.1,49.19,32.98,13.52,1.02,6.74,26.01,6.66,11.08,6.43,112,Moderate
Visakhapatnam,7/16/2016,44.76,111.15,10.93,47.01,31.05,13.58,1.1,4.76,33.86,6.27,8.15,5.02,104,Moderate
Visakhapatnam,7/17/2016,41.11,94.44,12.29,48.83,32.94,13.17,1.1,7.73,29.34,6.08,6.32,4.32,102,Moderate
Visakhapatnam,7/18/2016,46.5,96.07,14.93,49.36,35.16,13.99,1.09,11.05,39.16,4.86,7.42,3.35,95,Satisfactory
Visakhapatnam,7/19/2016,33.54,80.51,33.45,65.03,56.61,8.69,1.9,11.57,28.7,3.57,6.07,5.88,127,Moderate
Visakhapatnam,7/20/2016,11.98,103.34,22.54,37.86,35.25,16.1,0.95,19.13,67.74,7.58,13.45,6.46,135,Moderate
Visakhapatnam,7/21/2016,2,57.56,3.77,13.46,9.35,13.88,0.7,11.33,49.86,2.74,6.61,2.04,,
