City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,1/1/2015,,,0.92,18.22,17.15,,0.92,27.64,133.36,0,0.02,0,,
Ahmedabad,1/2/2015,,,0.97,15.69,16.46,,0.97,24.55,34.06,3.68,5.5,3.77,,
Ahmedabad,1/3/2015,,,17.4,19.3,29.7,,17.4,29.07,30.7,6.8,16.4,2.25,,
Ahmedabad,1/4/2015,,,1.7,18.48,17.97,,1.7,18.59,36.08,4.43,10.14,1,,
Ahmedabad,1/5/2015,,,22.1,21.42,37.76,,22.1,39.33,39.31,7.01,18.89,2.78,,
Ahmedabad,1/6/2015,,,45.41,38.48,81.5,,45.41,45.76,46.51,5.42,10.83,1.93,,
Ahmedabad,1/7/2015,,,112.16,40.62,130.77,,112.16,32.28,33.47,0,0,0,,
Ahmedabad,1/8/2015,,,80.87,36.74,96.75,,80.87,38.54,31.89,0,0,0,,
Ahmedabad,1/9/2015,,,29.16,31,48,,29.16,58.68,25.75,0,0,0,,
Ahmedabad,1/10/2015,,,,7.04,0,,,8.29,4.55,0,0,0,,
Ahmedabad,1/11/2015,,,132.07,55.8,24.53,,132.07,25.03,6.79,0,0,0,,
Ahmedabad,1/12/2015,,,52.04,40.67,90.24,,52.04,51.84,45.89,2.41,0.03,7.88,,
Ahmedabad,1/13/2015,,,48.82,44.2,87.09,,48.82,68.21,35.16,9.45,13.35,12.5,,
Ahmedabad,1/14/2015,,,19.2,27.86,33.05,,19.2,52.65,20.96,2.16,2.26,5.19,,
Ahmedabad,1/15/2015,,,0.6,16.96,16.6,,0.6,28.89,47.63,0.14,0.04,1.35,,
Ahmedabad,1/16/2015,,,1.63,21.72,22.86,,1.63,38.27,46.03,0.35,0.05,2.01,,
Ahmedabad,1/17/2015,,,11.44,24.73,34.75,,11.44,49.5,52.24,0.68,0,3.27,,
Ahmedabad,1/18/2015,,,6.1,25.77,29.57,,6.1,48.43,53.49,0.74,0.21,2.75,,
Ahmedabad,1/19/2015,,,2.51,26.88,27.45,,2.51,50.03,49.48,0.26,0.02,2.8,,
Ahmedabad,1/20/2015,,,7.92,26.8,32.4,,7.92,58.87,56.37,0.24,0.01,3.97,,
Ahmedabad,1/21/2015,,,9.52,33.56,39.28,,9.52,106.93,48.75,0.33,0,5.65,,
Ahmedabad,1/22/2015,,,9.05,17.51,22.33,,9.05,23.71,42.22,0,0,4.51,,
Ahmedabad,1/23/2015,,,22.53,27.96,47.79,,22.53,39.19,32.92,0.39,0,5.95,,
Ahmedabad,1/24/2015,,,2.03,20.39,21.4,,2.03,40.07,32.49,0.47,0.7,1.54,,
Ahmedabad,1/25/2015,,,1.42,20.43,20.19,,1.42,58.41,39.26,0.01,0,0.94,,
Ahmedabad,1/26/2015,,,2.27,21.16,21.81,,2.27,43.73,39.83,0.06,0,1.55,,
Ahmedabad,1/27/2015,,,2.19,21.7,23.26,,2.19,43.28,41.1,0.02,0,1.65,,
Ahmedabad,1/28/2015,73.24,,5.72,21.11,25.84,,5.72,36.52,62.42,0.03,0.01,1.41,,
Ahmedabad,1/29/2015,83.13,,6.93,28.71,33.72,,6.93,49.52,59.76,0.02,0,3.14,209,Poor
Ahmedabad,1/30/2015,79.84,,13.85,28.68,41.08,,13.85,48.49,97.07,0.04,0,4.81,328,Very Poor
Ahmedabad,1/31/2015,94.52,,24.39,32.66,52.61,,24.39,67.39,111.33,0.24,0.01,7.67,514,Severe
